"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",-31.73450926,0.09496408,-40.58308548,-22.71618858,-25.37642469,-24.19938218,-30.47929233,-42.07676426,-23.93833061
"2-KG_1.0",0,0,0,0,0,0,0,0,0
"2-KG_1.1",-8.84171386,0.04851163,-11.30657088,-6.32771895,-7.07171691,-6.74373139,-8.4952909,-11.72270053,-6.67048761
"2-KG_2.1",0,0,0,0,0,0,0,0,0
"2-KG_2.2",5147.7853175,-23.10939659,6582.97806562,3684.41319132,4116.92487464,3925.97669929,4945.32416592,6825.26272469,3883.45196513
"2-KG_3.2",0,0,0,0,0,0,0,0,0
"2-KG_3.3",-1.00383162,-6.44112877,-1.42692418,-1.11435227,-0.37564785,-0.35118453,0,-1.48347393,-0.4922067
"2-KG_4.3",0,0,0,0,0,0,0,0,0
"2-KG_4.4",584.35583285,3749.54431991,830.64873646,648.69269955,218.67413321,204.43341613,0,863.56777869,286.52599371
"2-KG_5.4",0,0,0,0,0,0,0,0,0
"Cit_0.0",0,0,0,0,0,0,0,0,0
"Cit_1.0",0,0,0,0,0,0,0,0,0
"Cit_1.1",0,0,0,0,0,0,0,0,0
"Cit_2.1",0,0,0,0,0,0,0,0,0
"Cit_2.2",0,0,0,0,0,0,0,0,0
"Cit_3.2",0,0,0,0,0,0,0,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0
"Fum_0.0",0,0,0,0,0.00204818,0.00163549,0,0,0.00218284
"Fum_1.0",0,0,0,0,0,0,0,0,0
"Fum_1.1",0,0,0,0,-1.37645317,-1.09911166,0,0,-1.46695273
"Fum_2.1",0,0,0,0,0,0,0,0,0
"Fum_2.2",0,0,0,0,-0.3707729,-0.29606588,0,0,-0.39515061
"Fum_3.2",0,0,0,0,0,0,0,0,0
"Fum_3.3",0,0,0,0,334.96785544,267.47519148,0,0,356.99144856
"Fum_4.3",0,0,0,0,0,0,0,0,0
"Lac_0.0",-1.04511531,-1.43262935,-0.9456634,-0.51380123,-0.19895867,-0.33039073,-0.84744984,-1.06049454,-0.2492495
"Lac_1.0",0,0,0,0,-0.00391303,0,0,0,-0.00546793
"Lac_1.1",-0.36927068,-0.50619105,-0.33413133,-0.18154143,-0.07217459,-0.11673699,-0.29942953,-0.37470463,-0.0904524
"Lac_2.1",0,0,0,0,1.8904923,0,0,0,2.40264743
"Lac_2.2",508.66159576,697.26615535,460.25797681,250.06901202,96.83460491,160.80242462,412.45706207,516.1467303,121.3115224
"Lac_3.2",0,0,0,0,1.23620167,0,0,0,1.81186884
"Mal_0.0",0,0,0,0,0,0,0,0,0
"Mal_1.1",0,0,0,0,0,0,0,0,0
"Mal_2.2",0,0,0,0,0,0,0,0,0
"Mal_3.3",0,0,0,0,0,0,0,0,0
"Mal_4.4",0,0,0,0,0,0,0,0,0
"Suc_0.0",0,0,0,-0.07603464,0,0,-0.98262084,0,-2.8790923
"Suc_1.0",0,0,0,99.8024622,0,0,316.16754033,0,0
"Suc_1.1",0,0,0,-0.05798366,0,0,554.81942029,0,-0.93677
"Suc_2.1",0,0,0,76.10890056,0,0,0.4226899,0,0
"Suc_2.2",0,0,0,0,0,0,0,0,700.69398111
"Suc_3.2",0,0,0,0,0,0,0,0,0
"Suc_3.3",0,0,0,0,0,0,0,0,0
"Suc_4.3",0,0,0,0,0,0,0,0,0
