"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",-4.15e-05,1.1e-07,-4.174e-05,-4.2e-05,-4.061e-05,-4.113e-05,-4.233e-05,-4.201e-05,-4.213e-05
"2-KG_1.0",0,0,0,0,0,0,0,0,0
"2-KG_1.1",-3.045e-05,1e-07,-2.89e-05,-2.739e-05,-3.838e-05,-3.329e-05,-2.567e-05,-2.734e-05,-2.666e-05
"2-KG_2.1",0,0,0,0,0,0,0,0,0
"2-KG_2.2",-Inf,-4.077e-05,-Inf,-Inf,-Inf,-Inf,Inf,-Inf,-Inf
"2-KG_3.2",0,0,0,0,0,0,0,0,0
"2-KG_3.3",-2.97e-06,-7.03e-06,-2.97e-06,-2.95e-06,-3.04e-06,-3.05e-06,0,-2.97e-06,-3.01e-06
"2-KG_4.3",0,0,0,0,0,0,0,0,0
"2-KG_4.4",Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,Inf
"2-KG_5.4",0,0,0,0,0,0,0,0,0
"Cit_0.0",0,0,0,0,0,0,0,0,0
"Cit_1.0",0,0,0,0,0,0,0,0,0
"Cit_1.1",0,0,0,0,0,0,0,0,0
"Cit_2.1",0,0,0,0,0,0,0,0,0
"Cit_2.2",0,0,0,0,0,0,0,0,0
"Cit_3.2",0,0,0,0,0,0,0,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0
"Fum_0.0",0,0,0,0,1e-08,1e-08,0,0,1e-08
"Fum_1.0",0,0,0,0,0,0,0,0,0
"Fum_1.1",0,0,0,0,-2.227e-05,-2.242e-05,0,0,-2.3e-05
"Fum_2.1",0,0,0,0,0,0,0,0,0
"Fum_2.2",0,0,0,0,-4.92e-06,-4.82e-06,0,0,-4.47e-06
"Fum_3.2",0,0,0,0,0,0,0,0,0
"Fum_3.3",0,0,0,0,Inf,Inf,0,0,Inf
"Fum_4.3",0,0,0,0,0,0,0,0,0
"Lac_0.0",-4.23e-06,-4.23e-06,-4.25e-06,-4.25e-06,-4.24e-06,-4.25e-06,-4.25e-06,-4.24e-06,-4.23e-06
"Lac_1.0",0,0,0,0,-7e-06,0,0,0,-6.59e-06
"Lac_1.1",-5.166e-05,-5.414e-05,-3.966e-05,-3.79e-05,-4.884e-05,-3.921e-05,-3.896e-05,-4.173e-05,-5.049e-05
"Lac_2.1",0,0,0,0,Inf,0,0,0,Inf
"Lac_2.2",Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,-Inf
"Lac_3.2",0,0,0,0,Inf,0,0,0,Inf
"Mal_0.0",0,0,0,0,0,0,0,0,0
"Mal_1.1",0,0,0,0,0,0,0,0,0
"Mal_2.2",0,0,0,0,0,0,0,0,0
"Mal_3.3",0,0,0,0,0,0,0,0,0
"Mal_4.4",0,0,0,0,0,0,0,0,0
"Suc_0.0",0,0,0,-5.7e-07,0,0,-2.34e-06,0,-1.77e-05
"Suc_1.0",0,0,0,Inf,0,0,Inf,0,0
"Suc_1.1",0,0,0,-5.8e-07,0,0,Inf,0,-3.188e-05
"Suc_2.1",0,0,0,Inf,0,0,Inf,0,0
"Suc_2.2",0,0,0,0,0,0,0,0,Inf
"Suc_3.2",0,0,0,0,0,0,0,0,0
"Suc_3.3",0,0,0,0,0,0,0,0,0
"Suc_4.3",0,0,0,0,0,0,0,0,0
