"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",761437.3739105,895508.16082334,967982.39064792,538287.98208603,622898.40266677,586241.34203401,716486.90848141,996966.30172484,565413.49004379
"2-KG_1.0",21050.24533077,22654.76648861,23719.18143858,12788.33992261,10081.87341419,11423.90241743,15686.30848175,24256.2029352,19500.28234335
"2-KG_1.1",292816.81594261,460155.66720463,394668.79293176,232890.60064641,186002.85329652,204468.31585494,333779.91749964,432512.52668786,252444.43631408
"2-KG_2.1",34977.5868807,67406.33270648,38282.23999605,29267.03146587,7441.35730067,9039.31414534,32245.27625567,33557.36972643,21274.74722105
"2-KG_2.2",0,547923.78816576,0,0,0,0,0,0,0
"2-KG_3.2",82324.40892587,199681.400636,114172.42946627,81417.98386861,31072.60846033,30939.76469051,119439.91902061,106271.95216407,45057.03220801
"2-KG_3.3",346913.21933994,942484.65343044,493975.46775832,387799.79345569,126848.68157632,118391.88026428,508903.42571994,513755.09244818,168117.67962042
"2-KG_4.3",2308.97533673,13008.47946636,13210.05752731,5310.55436786,1997.45929208,2990.03408588,3850.45076047,3431.00606618,0
"2-KG_4.4",0,0,0,0,0,0,0,0,0
"2-KG_5.4",872624.4770005,2852399.32564459,1372866.75490548,1298552.94335638,194660.30512978,181881.50577106,1884041.30587913,1106729.12577451,304129.82674377
"Cit_0.0",1306065.55118456,1334940.51970374,1630720.1674813,1285903.01497794,2682705.87881117,1055480.50093379,1224918.76054662,1965335.37125151,1430405.25438311
"Cit_1.0",74798.27332612,86996.37999232,90790.32589494,82839.62805612,61479.00993672,41818.45294285,73561.74298372,114548.12350222,62270.69456828
"Cit_1.1",633592.44824256,783716.08104438,725316.59898636,603088.24522224,416208.64409072,279465.28053168,603554.66233723,832928.36553248,431341.43980395
"Cit_2.1",182532.47676091,302589.14443026,276006.09602346,245536.7692385,78721.47240366,68012.53423838,238725.38541399,279486.79786702,96187.97428855
"Cit_2.2",462375.35625985,756327.13896703,636535.22628738,670556.53837705,179563.92729518,152981.46512409,602311.70467224,728946.01687064,228209.91889269
"Cit_3.2",248901.69515939,349363.47332936,286985.47333937,313927.86763155,91871.19953489,71670.95205437,397475.77542557,359529.89715732,93767.16403439
"Cit_3.3",320530.01773229,500585.36830112,379849.43410689,382205.04175049,113187.99035857,73635.97016332,429435.2896881,417306.33125469,101890.41220132
"Cit_4.3",376464.78003658,910210.93072179,589317.8527382,812986.05168651,103619.64248813,95880.18291898,685738.17269092,607922.44471713,166013.68930945
"Cit_4.4",317624.34425009,758566.82588432,437610.55076139,656057.93698485,85449.1431242,79131.5918355,555491.90954606,525029.99123938,112044.12241078
"Cit_5.4",598362.49444372,863636.20611045,662084.27087539,582711.69365325,168863.38396134,139087.5868118,924430.70752679,641319.21529834,169687.96979288
"Cit_5.5",6315.06183214,12939.84723608,7056.74865378,15053.46835223,1622.0320281,1336.50955006,15011.12361606,8638.86293375,2429.87326586
"Cit_6.5",49536.90080225,111645.31856927,42676.12683151,90476.47201339,7932.36299952,7115.6847482,104299.42750127,59348.99961843,9417.81824965
