"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",0.31536639625314,0.149220954513268,0.28312872956685,0.208129301492336,0.527431443657874,0.511833067657273,0.198229378430426,0.309859403207475,0.410929633290884
"2-KG_1.0",0.00871843205714476,0.00377502520646763,0.00693771061535085,0.00494461764690482,0.00853670041030247,0.00997393155290525,0.00433990788023714,0.00753888326273127,0.0141723606060423
"2-KG_1.1",0.121276663282086,0.0766769873116882,0.115438126790361,0.0900472602951798,0.157495593211771,0.178516317153011,0.0923463985109633,0.13442588096247,0.183470860648964
"2-KG_2.1",0.0144867534772387,0.0112321001044279,0.0111973131740547,0.0113161114839309,0.00630087636613523,0.00789200548783328,0.00892125312244233,0.0104297071412089,0.0154620012218408
"2-KG_2.2",0,0.0913020274381951,0,0,0,0,0,0,0
"2-KG_3.2",0.0340965036077584,0.033273453559658,0.0333947138074575,0.0314803017630437,0.0263103431768071,0.027012756587916,0.0330452666014765,0.0330295654108683,0.0327464237207696
"2-KG_3.3",0.143681904178073,0.157048774932092,0.14448470134874,0.149942972566505,0.107407537029257,0.103365073249753,0.140797561780147,0.159676255922972,0.122184096511003
"2-KG_4.3",0.000956314013380056,0.00216763822783232,0.00386385831121248,0.00205332834449781,0.00169132371115292,0.00261052609027186,0.00106529854473221,0.00106636452027361,0
"2-KG_4.4",0,0,0,0,0,0,0,0,0
"2-KG_5.4",0.361417033131179,0.475303038706371,0.401554846385973,0.502086106407602,0.1648261824367,0.158796322221037,0.521254935129576,0.343973939572,0.221034624000496
"Cit_0.0",0.28534786707404,0.19714053343079,0.282868105805287,0.2239725227897,0.672151053667184,0.510975969005858,0.209210631212464,0.300494354402427,0.492620394779147
"Cit_1.0",0.016341850326786,0.0128473984459171,0.0157486784204138,0.0144286157405175,0.0154035452167026,0.0202450206288927,0.0125640158175432,0.0175140919576948,0.0214455407286848
"Cit_1.1",0.138426630681943,0.11573714633343,0.125814923097011,0.105043066369632,0.104280935484042,0.135293870798023,0.103084429715526,0.127352448404146,0.148550622077005
"Cit_2.1",0.039879509009504,0.044685575471622,0.0478765904351665,0.0427664365068174,0.0197236383758179,0.0329260185822991,0.0407732252762723,0.0427327600762466,0.033126386890593
"Cit_2.2",0.101019295376625,0.111692418818206,0.110414721868776,0.11679437548874,0.044989681457573,0.0740609156801668,0.102872138120329,0.1114538342605,0.0785937132102593
"Cit_3.2",0.0543797880285784,0.0515930863411566,0.0497810960187761,0.0546784754903427,0.0230182980761235,0.034697120546665,0.0678870799818093,0.0549711290576646,0.0322926787512839
"Cit_3.3",0.0700290707538833,0.0739251412912631,0.0658894714492812,0.066570671681074,0.0283592128316721,0.0356484190608928,0.0733456216969545,0.063804986381826,0.0350902619582946
"Cit_4.3",0.0822496404675141,0.134417575741016,0.102224298224487,0.141602076414906,0.0259618664979695,0.0464172188232191,0.117121004735962,0.0929496640747334,0.0571738176406755
"Cit_4.4",0.0693942421805339,0.11202316993938,0.0759088346625861,0.114269077474107,0.0214092540071299,0.0383089424971358,0.0948755270738832,0.0802756367015996,0.0385871204300669
"Cit_5.4",0.130729626374236,0.127539541911982,0.114846512185631,0.101493974713805,0.0423086639321485,0.0673346541077447,0.157888619280808,0.0980559381293931,0.0584392111343936
