"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",751798.329590187,884171.912896544,955728.69062684,531473.788438334,615013.124748874,578820.106260876,707416.892610888,984345.694045929,558255.914284348
"2-KG_1.0",20576.0906783165,22144.4701589459,23184.9092695497,12500.2838559855,9854.7802326299,11166.5801679605,15332.9759656881,23709.8344111349,19061.0404508225
"2-KG_1.1",286223.91057215,449795.050585688,385782.643425297,227646.961592455,181814.913452724,199864.617623507,326264.709045675,422774.308099518,246760.533651045
"2-KG_2.1",33848.4103879682,65230.2635964805,37046.3798539512,28322.2080263337,7201.12901486533,8747.49924461088,31204.3065605983,32474.0419033233,20587.9375639757
"2-KG_2.2",0,530240.695494772,0,0,0,0,0,0,0
"2-KG_3.2",78871.492388944,191306.202813524,109383.717650312,78003.0853400795,29769.336138087,29642.0642084493,114430.27392341,101814.608518042,43167.2139433452
"2-KG_3.3",332366.333553637,902964.059101742,473261.916616083,371538.437621267,121529.618536449,113427.430758703,487563.910251801,492212.135203152,161068.11059924
"2-KG_4.3",2190.04988726965,12338.4682961569,12529.6639328694,5037.03041330109,1894.57870244764,2836.0302115603,3652.13050124958,3254.2896101699,0
"2-KG_4.4",0,0,0,0,0,0,0,0,0
"2-KG_5.4",819418.29081053,2678481.11270372,1289159.49467987,1219376.78969262,182791.359539195,170791.71684624,1769166.40246734,1039248.9696709,285586.239422825
"Cit_0.0",1282977.40568289,1311341.93314962,1601892.89731468,1263171.29536102,2635281.99291816,1036822.10560468,1203265.09810558,1930592.89682527,1405119.07743005
"Cit_1.0",72742.7144293535,84605.6004338132,88295.2835118091,80563.081728464,59789.4826225154,40669.2246361898,71540.1656326953,111400.184333273,60559.4106771456
"Cit_1.1",616177.374142285,762174.672741894,705380.372864121,586511.616967465,404768.633405429,271783.830756808,586965.214029688,810034.296567164,419485.485463678
"Cit_2.1",175743.713312705,291335.223155623,265740.853753066,236404.744769342,75793.6566860062,65483.006262588,229846.690513137,269092.101036708,92610.5429426622
"Cit_2.2",445176.702406341,728194.56553507,612858.469137006,645614.31419356,172884.813046732,147291.120193178,579907.936001763,701831.919952795,219721.3536008
"Cit_3.2",237251.791505463,333011.432006853,273553.049296057,299234.398349035,87571.1459636727,68316.3759206721,378871.826241887,342702.013924517,89378.3693891664
"Cit_3.3",305526.386926014,477153.559617021,362069.131620298,364314.47605779,107889.794479572,70189.1575427461,409333.931982976,397772.715740101,97121.0425860076
"Cit_4.3",355261.598675474,858946.195042983,556126.399052329,767197.198088349,97783.5956950267,90480.0365701778,647116.151155768,573683.146561345,156663.496278079
"Cit_4.4",299734.227164659,715840.726396463,412962.23858801,619105.626748062,80636.2400737397,74674.5233874374,524203.957341855,495457.799476774,105733.263356837
"Cit_5.4",559024.469352931,806858.344762588,618556.997856505,544402.596010126,157761.832482312,129943.579574337,863656.045503241,599157.095150644,158532.207733423
"Cit_5.5",5899.87727536804,12089.1153062569,6592.80180100976,14063.7761288075,1515.39132266317,1248.6405568636,14024.2153527927,8070.89977305561,2270.12093378248
"Cit_6.5",45818.2080285707,103264.199995945,39472.4664917063,83684.4806450299,7336.88729379768,6581.51638028891,96469.7586873855,54893.7209790338,8710.83068882932
"Fum_0.0",316487.641081474,288407.880344621,397330.089241789,201140.725368352,268194.588764482,237373.250799558,246543.257542219,334477.272437835,242214.06726511
"Fum_1.0",34046.1468067151,39264.4314664733,40850.0501875181,21049.3603839788,19292.5051797547,14130.2658660268,31647.2311446508,29585.3490589497,15566.0396989796
"Fum_1.1",112804.448112844,114632.87453087,121150.141847336,62073.5243954251,59388.9090448789,47017.7463536932,110263.760428378,18949.67488568,61111.8671865913
"Fum_2.1",90004.621394952,139354.819636561,122953.296948695,78600.0953857198,29912.3999672189,28488.6426689943,114662.591791792,94598.4382978063,24568.8298263968
"Fum_2.2",193835.043732943,228003.907568175,204992.412365568,113302.261839931,74555.6381230446,60677.4202687131,112788.719833102,222927.637506727,87333.0469349618
"Fum_3.2",23874.7693724983,66151.3074138924,38432.2078004942,25577.4958248284,4779.02678083033,6729.70011729185,52677.0865690977,37418.2784303032,6653.06957271296
"Fum_3.3",46356.6381501254,60499.5896932114,56584.6641685075,47153.2623332034,0,0,45681.919254628,39624.8692151372,0
"Fum_4.3",281565.686707355,569301.705081469,422405.083065639,361610.202026849,75559.9568604236,74664.3279121879,497430.663191301,309536.098267045,102876.676057173
"Lac_0.0",244893.109652948,335871.864621425,220890.411339031,119932.22855361,46579.3881851079,77158.4281108677,197894.742264835,247875.861711445,58373.4822406878
"Lac_1.0",3380.64583490629,3256.58948891663,2388.71295805454,1896.57806816189,554.780339357828,1126.65828993419,2699.38680650911,3270.00011058523,823.077364901815
"Lac_1.1",7085.077701944,9254.80556720623,8346.73697271986,4747.79574057176,1466.10873656209,2946.94043635392,7611.12157303362,8895.30319421662,1777.52638803203
"Lac_2.1",599.960103250435,1939.36214861886,1159.45439638147,389.819661398553,0,659.047869648597,1353.01443665761,1365.16923741937,0
