"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",0.323313388625593,0.154126273312656,0.29084180608693,0.214832488148479,0.534855022728946,0.518983375480195,0.204749760418764,0.31754788536656,0.418329978863004
"2-KG_1.0",0.00884881668399072,0.00386015955754637,0.00705549697529197,0.00505286834790954,0.00857035157983705,0.0100122117484398,0.00443786851610867,0.00764874355136448,0.0142834217155073
"2-KG_1.1",0.1230915510057,0.0784069634989201,0.117399134159311,0.0920195205149291,0.158117958388166,0.179203197627963,0.0944317582856254,0.136386117536111,0.184910407906375
"2-KG_2.1",0.0145566222102266,0.0113707496117943,0.0112737392226227,0.0114484111023324,0.00626256557450308,0.00784320834033451,0.00903155460245766,0.0104760587648024,0.0154276045548243
"2-KG_2.2",0,0.0924300140767789,0,0,0,0,0,0,0
"2-KG_3.2",0.0339189493599003,0.0333479402265221,0.0332870178638812,0.031530429668239,0.0258893319768804,0.0265777542498985,0.0331198921247122,0.0328451821650574,0.0323474220951942
"2-KG_3.3",0.142935254491543,0.157402065519927,0.144020318664396,0.150183374483079,0.105689983300915,0.101701634498278,0.141117062450193,0.158786616968964,0.120696651084944
"2-KG_4.3",0.000941838286203996,0.0021508058660709,0.00381295457972271,0.00203606988737618,0.00164764765853277,0.00254284969758118,0.00105704691669021,0.00104982709868145,0
"2-KG_4.4",0,0,0,0,0,0,0,0,0
"2-KG_5.4",0.352393579336841,0.466905028329785,0.392309532447844,0.492896837847656,0.15896713879222,0.15313576835731,0.51205505668545,0.335259568548459,0.214004513780151
"Cit_0.0",0.291497366252863,0.202217305853913,0.288967731493438,0.229489440920855,0.677622234009819,0.517509779147762,0.214669393681774,0.306701881718749,0.498993743429612
"Cit_1.0",0.0165274225222651,0.0130467242352162,0.0159277114098879,0.0146364761870576,0.0153739458979479,0.0202992599654409,0.0127631757992841,0.0176974887947713,0.0215061965345669
"Cit_1.1",0.139997852582195,0.117532204999936,0.127244565806012,0.106555796166173,0.104080028764423,0.135655663079116,0.10471796016225,0.128685360555513,0.148970031129855
"Cit_2.1",0.0399296428286545,0.0449257531064988,0.0479373694726282,0.0429493552516549,0.0194891731151975,0.0326845810151006,0.0410059676540937,0.0427490714791953,0.0328883738369912
"Cit_2.2",0.101145846913423,0.112292255328315,0.110554408381444,0.11729340949949,0.0444546707175616,0.0735175250118179,0.103458901291778,0.111495888570695,0.0780286756516137
"Cit_3.2",0.0539045130929682,0.0513524908314635,0.049346622505603,0.0543640716295583,0.022517573345915,0.0340988028937361,0.0675929064596833,0.0544430432289978,0.0317405462921379
"Cit_3.3",0.0694167619127181,0.0735801280087255,0.0653141641263944,0.0661876387920779,0.0277422013122594,0.0350335657603768,0.0730275208102574,0.0631918001016594,0.0344901676905679
"Cit_4.3",0.0807167919606201,0.132454992129993,0.100320429803489,0.139382249036162,0.0251435477275068,0.0451613671136051,0.115449232283892,0.0911376504337269,0.0556352167743315
"Cit_4.4",0.0681007610947207,0.110387214389403,0.0744948438670722,0.112477385034911,0.0207343689547293,0.0372723497090749,0.0935209920617911,0.0787104519350723,0.0375485876855043
"Cit_5.4",0.127012494347512,0.124422712763981,0.111582374058603,0.0989055465818821,0.0405660288558982,0.0648588343204408,0.154081191193589,0.0951845460687375,0.0562988440351593
"Cit_5.5",0.00134047464855353,0.0018642188323201,0.00118928486655834,0.00255506765621495,0.000389659572000877,0.000623234878311705,0.00250200044145423,0.00128217613958393,0.000806178039271858
"Cit_6.5",0.0104100718435062,0.0159239995202359,0.00712049420886996,0.015203563243963,0.00188656772674113,0.00328503710521709,0.0172107581601531,0.00872064097329858,0.00309343890038875
"Fum_0.0",0.287984387650344,0.191554673670524,0.282858026865589,0.220910702906734,0.504425712867929,0.50603855553467,0.203469693936185,0.307673490769631,0.448275938373378
"Fum_1.0",0.0309799103259817,0.0260786402487743,0.0290810208093005,0.0231182869090595,0.0362857271771873,0.0301232733851846,0.0261181445362671,0.027214487711708,0.0288087357254105
"Fum_1.1",0.102645145330176,0.0761368338702694,0.0862464006761144,0.0681746865582759,0.111699840475599,0.100233671524385,0.0909995828329349,0.0174311174524134,0.113102347514911
"Fum_2.1",0.0818986981278477,0.0925566491733829,0.0875300610580312,0.0863256423501381,0.0562598363619677,0.0607328396809743,0.0946298945279833,0.0870176664629765,0.0454705846341664
"Fum_2.2",0.176378029119434,0.151435578173655,0.145933446406715,0.124438659839496,0.140225725961853,0.129353724579007,0.0930834066714049,0.205063034390384,0.161631006851994
"Fum_3.2",0.0217245792427709,0.0439363587756522,0.0273597665036659,0.0280914895325615,0.00898848855169189,0.0143465521707478,0.0434738746803035,0.0344197148563542,0.0123131205360874
"Fum_3.3",0.0421817041751583,0.040182602316677,0.0402824424601183,0.0517879226461842,0,0,0.0377008327942814,0.0364494775500097,0
"Fum_4.3",0.256207546028288,0.378118663771065,0.300708835220465,0.397152609257551,0.142114668603771,0.159171383125031,0.41052457002064,0.284731010806523,0.190398266364053
"Lac_0.0",0.944820340713446,0.942914288167423,0.932955956296808,0.910515961290567,0.958418157471286,0.928094897374737,0.91887413409303,0.938736685798196,0.957349032616809
"Lac_1.0",0.0130428453217577,0.00914242925127541,0.0100890028163326,0.0143986701799936,0.0114151681970486,0.0135519325052915,0.0125339192240579,0.0123838967020676,0.0134988061155671
"Lac_1.1",0.0273348871996382,0.0259815998978245,0.0352533997611593,0.0360448884747072,0.0301666743316659,0.0354470723265308,0.0353403160935862,0.033687618399204,0.029152161267624
"Lac_2.1",0.00231470174873794,0.00544449378611973,0.00489708846391865,0.00295947993303243,0,0.00792731241320354,0.00628237998983992,0.00517006551844311,0
"Lac_2.2",0,0,0,0,0,0,0,0,0
"Lac_3.2",0.0124872250164201,0.0165171888973573,0.0168045526617809,0.0360810001216996,0,0.0149787853802371,0.0269692505994865,0.010021733582089,0
"Mal_0.0",0.34879748595399,0.228367894204892,0.290778130340859,0.231274012673812,0.540798163816496,0.556331552048056,0.203055266587724,0.33261389096439,0.511730209738741
"Mal_1.1",0.138150808932791,0.117835734332567,0.141940862495285,0.102072731212144,0.14736633568897,0.15133658435867,0.109613950444644,0.135153823670963,0.139103089078946
"Mal_2.2",0.181478011649409,0.179878989927462,0.18981186970361,0.180111675484617,0.121026853525057,0.111194778478156,0.182083315690549,0.176389955071573,0.144802506492773
"Mal_3.3",0.0508226021651745,0.0786750207667977,0.0610598485891221,0.0791328509296812,0.0260759764621361,0.0292056494682669,0.0741541898854147,0.0704966256630987,0.023074734425305
"Mal_4.4",0.280751091298635,0.395242360768281,0.316409288871124,0.407408729699746,0.164732670507341,0.151931435646851,0.431093277391669,0.285345704629975,0.181289460264235
"Suc_0.0",0.399917782623135,0.401429402834486,0.470320274053895,0.312814375621626,0.771708369642566,0.88535415661906,0.70827934361532,0.385161808962774,0.642864708851387
"Suc_1.0",0.0460452568589537,0.0211230377179087,0.0370022812270464,0,0.0192878061439273,0.015445689239225,0,0.0225499708007179,0.0307806432294891
"Suc_1.1",0.0940573905390974,0.111622172021822,0.134564934416841,0.238785371746953,0.0746901091162544,0.053858595759278,0,0.104446013135251,0.115574264113221
"Suc_2.1",0.0795912733463184,0.0943621581163304,0.0767400741211181,0,0.0268768442802516,0.0095853915532556,0,0.0857379012287658,0.0818311484175729
"Suc_2.2",0.0772727881579201,0.0625794731005705,0.0609181297155931,0.0588209540972176,0.0242296368963959,0.00850464164339644,0.0849586121742807,0.0811772587738778,0
"Suc_3.2",0.00271289056897052,0.00652375100237921,0.00449119442778463,0.00615873766656642,0.00043224387458939,0.000489336898277448,0.0150439599386992,0.00612455808568707,0.00235499922119527
"Suc_3.3",0.00137926861601511,0.000822322430867434,0.000794045438115818,0.000820157999277979,0.00151346484424494,0.000382238013724592,0.00912656740392845,0.00260950833819865,0.00326625125833686
"Suc_4.3",0.299023349289589,0.301537682775635,0.215169066599606,0.382600402868359,0.0812615252017701,0.0263799502737831,0.182591516867771,0.312192980674727,0.123327984908798
