"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",-98.85495661,0.78010691,-136.01306816,-97.16969647,-49.95971414,-47.26141739,-128.87996288,-140.51559429,-56.75302261
"2-KG_1.0",0.99852723,-0.00787981,1.3738588,0.98150453,0.50463969,0.47738438,1.30180779,1.41933851,0.60704489
"2-KG_1.1",-24.4964882,0.39850779,-33.6932997,-24.05053912,-12.39623436,-11.72688078,-31.93522833,-34.82827686,-14.06298125
"2-KG_2.1",0.24743737,-0.0040253,0.34033374,0.24293287,0.12521352,0.11845243,0.32257558,0.35179807,-17.33664721
"2-KG_2.2",16020.88721064,-189.83811047,22039.484767,15739.00919094,8101.67578055,7664.15823473,20886.40564565,22775.13063034,9201.60101378
"2-KG_3.2",-161.82589822,1.91754192,-222.61934509,-158.9786674,-81.83447914,-77.415144,-210.97217087,-230.05005421,-97.10987259
"2-KG_3.3",-502.45795384,-52.91212848,-694.38872257,-501.74695008,-249.47125222,-235.95303062,-655.49149999,-711.9408219,-287.08307153
"2-KG_4.3",5.07529381,0.53446183,7.01397352,5.06811201,2.51989225,2.3833456,6.62107531,7.19126609,2838.80841436
"2-KG_4.4",8926.79092864,30801.60711081,13945.48035565,13038.06912376,2089.03322377,1952.09731844,11867.73513033,11457.26543177,3203.28687654
"2-KG_5.4",-90.16891145,-311.1249503,-140.86235393,-131.69665445,-21.10118331,-19.71800299,-119.87518993,-115.72906327,-146.93039785
"Cit_0.0",0,0,0,0,0,0,0,0,0
"Cit_1.0",0,0,0,0,0,0,0,0,0
"Cit_1.1",0,0,0,0,0,0,0,0,0
"Cit_2.1",0,0,0,0,0,0,0,0,0
"Cit_2.2",0,0,0,0,0,0,0,0,0
"Cit_3.2",0,0,0,0,0,0,0,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0
"Fum_0.0",0,0,0,0,0.00671466,0.00624666,0,0,0.00853637
"Fum_1.0",0,0,0,0,-6.782e-05,-6.31e-05,0,0,-8.623e-05
"Fum_1.1",0,0,0,0,-4.51254014,-4.19802639,0,0,-5.73681018
"Fum_2.1",0,0,0,0,0.04558086,0.04240398,0,0,0.05794713
"Fum_2.2",0,0,0,0,-1.21552515,-1.13080582,0,0,-1.54530195
"Fum_3.2",0,0,0,0,0.01227794,0.01142219,0,0,0.01560899
"Fum_3.3",0,0,0,0,1098.15279096,1021.6140477,0,0,1396.08599877
"Fum_4.3",0,0,0,0,-11.09236707,-10.3192544,0,0,-14.10177026
"Lac_0.0",-1.11228607,-1.55473187,-1.02823482,-0.61243236,-0.19895867,-0.35623442,-0.96799068,-1.11541324,-0.24924949
"Lac_1.0",0.0112351,0.0157042,0.01038611,0.00618612,-0.00391303,0.00359829,0.00977759,0.01126669,-0.00546793
"Lac_1.1",-0.3930032,-0.54933224,-0.36330543,-0.21639026,-0.07217442,-0.12586804,-0.34201942,-0.39410812,-0.09045218
"Lac_2.1",0.00396969,0.00554875,0.00366972,0.00218574,1.8904923,0.00127138,0.00345471,0.00398085,2.40264743
"Lac_2.2",541.35386281,756.69391505,500.4457973,298.07315989,96.83460237,173.38064907,471.12474581,542.87587002,121.31151933
"Lac_3.2",-5.46816605,-7.6432963,-5.05495741,-3.01080983,1.23620166,-1.75130214,-4.75878814,-5.48353971,1.81186884
"Mal_0.0",0,0,0,0,0,0,0,0,0
"Mal_1.1",0,0,0,0,0,0,0,0,0
"Mal_2.2",0,0,0,0,0,0,0,0,0
"Mal_3.3",0,0,0,0,0,0,0,0,0
"Mal_4.4",0,0,0,0,0,0,0,0,0
"Suc_0.0",0,0,0,-0.07635841,0,0,-2.20313671,0,-3.0439094
"Suc_1.0",0,0,0,100.22744029,0,0,317.17617941,0,0.03074632
"Suc_1.1",0,0,0,-0.13444886,0,0,1564.18602193,0,-0.89810474
"Suc_2.1",0,0,0,176.47650895,0,0,212.00254936,0,0.0090717
"Suc_2.2",0,0,0,0.00272393,0,0,-31.59951932,0,740.79748963
"Suc_3.2",0,0,0,-3.57541125,0,0,-4.31524503,0,-7.48274534
"Suc_3.3",0,0,0,-4.131e-05,0,0,0.47877279,0,-22.44749624
"Suc_4.3",0,0,0,0.05422379,0,0,0.06554503,0,0.22674064
