"","sample1"
"NL-C2-LabC2_0.0",113.77946597
"NL-C2-LabC2_1.0",53.84613227
"NL-C2-LabC2_1.1",44.10660999
"NL-C2-LabC2_2.0",36.53002378
"NL-C2-LabC2_2.1",30.15325418
"NL-C2-LabC2_2.2",32.28553997
"NL-C2-LabC2_3.1",32.42258411
"NL-C2-LabC2_3.2",32.74650121
"NL-C2-LabC2_3.3",33.75986856
"NL-C2-LabC2_4.2",32.62992753
"NL-C2-LabC2_4.3",32.60795438
"NL-C2-LabC2_4.4",33.69213833
"NL-C2-LabC2_5.3",50.59392891
"NL-C2-LabC2_5.4",50.58256633
"NL-C2-LabC2_6.4",102.19724956
"NL-C4-LabC2_0.0",116.25399147
"NL-C4-LabC2_1.0",52.52936605
"NL-C4-LabC2_1.1",45.06585979
"NL-C4-LabC2_2.0",55.12368082
"NL-C4-LabC2_2.1",48.80787524
"NL-C4-LabC2_2.2",51.95094431
"NL-C4-LabC2_3.1",48.59612108
"NL-C4-LabC2_3.2",48.87529997
"NL-C4-LabC2_3.3",51.63117682
"NL-C4-LabC2_4.2",48.94745891
"NL-C4-LabC2_4.3",48.8773624
"NL-C4-LabC2_4.4",51.64013323
"NL-C4-LabC2_5.3",104.01915591
"NL-C4-LabC2_5.4",103.9602706
"NL-C4-LabC2_6.4",97.53612602
"NL-C6-LabC2_0.0",118.78233403
"NL-C6-LabC2_1.0",51.12985568
"NL-C6-LabC2_1.1",46.04597179
"NL-C6-LabC2_2.0",55.18755762
"NL-C6-LabC2_2.1",48.88398642
"NL-C6-LabC2_2.2",53.08079613
"NL-C6-LabC2_3.1",48.59107801
"NL-C6-LabC2_3.2",48.80233229
"NL-C6-LabC2_3.3",52.7540742
"NL-C6-LabC2_4.2",48.94938804
"NL-C6-LabC2_4.3",48.81143143
"NL-C6-LabC2_4.4",52.76322539
"NL-C6-LabC2_5.3",105.21872585
"NL-C6-LabC2_5.4",105.09211092
"NL-C6-LabC2_6.4",97.39029051
"NL-C8-LabC2_0.0",121.36566409
"NL-C8-LabC2_1.0",49.6446249
"NL-C8-LabC2_1.1",47.04739968
"NL-C8-LabC2_2.0",55.28372027
"NL-C8-LabC2_2.1",48.94032235
"NL-C8-LabC2_2.2",54.23522046
"NL-C8-LabC2_3.1",48.58437572
"NL-C8-LabC2_3.2",48.703073
"NL-C8-LabC2_3.3",53.90139283
"NL-C8-LabC2_4.2",48.95308677
"NL-C8-LabC2_4.3",48.71951394
"NL-C8-LabC2_4.4",53.91074306
"NL-C8-LabC2_5.3",106.44595752
"NL-C8-LabC2_5.4",106.22401013
"NL-C8-LabC2_6.4",97.21666653
"NL-C10-LabC2_0.0",124.00517753
"NL-C10-LabC2_1.0",48.07060707
"NL-C10-LabC2_1.1",48.07060707
"NL-C10-LabC2_2.0",55.41475171
"NL-C10-LabC2_2.1",48.97598685
"NL-C10-LabC2_2.2",55.41475171
"NL-C10-LabC2_3.1",48.57641301
"NL-C10-LabC2_3.2",48.57641301
"NL-C10-LabC2_3.3",55.07366386
"NL-C10-LabC2_4.2",48.95917133
"NL-C10-LabC2_4.3",48.60051079
"NL-C10-LabC2_4.4",55.08321743
"NL-C10-LabC2_5.3",107.70202359
"NL-C10-LabC2_5.4",107.35543542
"NL-C10-LabC2_6.4",97.01465128
