"","sample1"
"NL-C2-LabC2_0.0",0.159817492507276
"NL-C2-LabC2_1.0",0.0756336283286436
"NL-C2-LabC2_1.1",0.0619532509798981
"NL-C2-LabC2_2.0",0.0513109879008406
"NL-C2-LabC2_2.1",0.042354017334312
"NL-C2-LabC2_2.2",0.0453490794517291
"NL-C2-LabC2_3.1",0.0455415750890649
"NL-C2-LabC2_3.2",0.0459965571744605
"NL-C2-LabC2_3.3",0.0474199583785797
"NL-C2-LabC2_4.2",0.0458328148588228
"NL-C2-LabC2_4.3",0.0458019508210499
"NL-C2-LabC2_4.4",0.0473248227982423
"NL-C2-LabC2_5.3",0.0710655018948635
"NL-C2-LabC2_5.4",0.0710495417299204
"NL-C2-LabC2_6.4",0.143548820752296
"NL-C4-LabC2_0.0",0.119379977352598
"NL-C4-LabC2_1.0",0.0539418427711671
"NL-C4-LabC2_1.1",0.0462776482172992
"NL-C4-LabC2_2.0",0.0566059167919549
"NL-C4-LabC2_2.1",0.0501202837606074
"NL-C4-LabC2_2.2",0.0533478676882619
"NL-C4-LabC2_3.1",0.0499028356841546
"NL-C4-LabC2_3.2",0.0501895214929092
"NL-C4-LabC2_3.3",0.0530195018813627
"NL-C4-LabC2_4.2",0.0502636207346991
"NL-C4-LabC2_4.3",0.0501916393801626
"NL-C4-LabC2_4.4",0.0530286991227601
"NL-C4-LabC2_5.3",0.106816155899272
"NL-C4-LabC2_5.4",0.106755687205808
"NL-C4-LabC2_6.4",0.100158802016983
"NL-C6-LabC2_0.0",0.121023303379479
"NL-C6-LabC2_1.0",0.0520944809364225
"NL-C6-LabC2_1.1",0.0469146835583871
"NL-C6-LabC2_2.0",0.0562287362271468
"NL-C6-LabC2_2.1",0.0498062406941068
"NL-C6-LabC2_2.2",0.0540822281875921
"NL-C6-LabC2_3.1",0.0495078062201986
"NL-C6-LabC2_3.2",0.0497230460622798
"NL-C6-LabC2_3.3",0.0537493422615997
"NL-C6-LabC2_4.2",0.0498728761930925
"NL-C6-LabC2_4.3",0.0497323168683277
"NL-C6-LabC2_4.4",0.0537586660996325
"NL-C6-LabC2_5.3",0.107203801674167
"NL-C6-LabC2_5.4",0.107074798003622
"NL-C6-LabC2_6.4",0.0992276736339468
"NL-C8-LabC2_0.0",0.12269372907975
"NL-C8-LabC2_1.0",0.0501878698841007
"NL-C8-LabC2_1.1",0.0475622240732274
"NL-C8-LabC2_2.0",0.0558886720407023
"NL-C8-LabC2_2.1",0.0494758603803601
"NL-C8-LabC2_2.2",0.0548286988382905
"NL-C8-LabC2_3.1",0.0491160187421544
"NL-C8-LabC2_3.2",0.0492360148878849
"NL-C8-LabC2_3.3",0.0544912182411079
"NL-C8-LabC2_4.2",0.0494887644772567
"NL-C8-LabC2_4.3",0.0492526357357441
"NL-C8-LabC2_4.4",0.0545006707876338
"NL-C8-LabC2_5.3",0.107610761013168
"NL-C8-LabC2_5.4",0.107386384925064
"NL-C8-LabC2_6.4",0.0982804768935549
"NL-C10-LabC2_0.0",0.124391614801886
"NL-C10-LabC2_1.0",0.0482204094784481
"NL-C10-LabC2_1.1",0.0482204094784481
"NL-C10-LabC2_2.0",0.0555874406726674
"NL-C10-LabC2_2.1",0.0491286106929976
"NL-C10-LabC2_2.2",0.0555874406726674
"NL-C10-LabC2_3.1",0.0487277916612425
"NL-C10-LabC2_3.2",0.0487277916612425
"NL-C10-LabC2_3.3",0.0552452898907733
"NL-C10-LabC2_4.2",0.0491117427708011
"NL-C10-LabC2_4.3",0.0487519645371421
"NL-C10-LabC2_4.4",0.0552548732325586
"NL-C10-LabC2_5.3",0.108037655351526
"NL-C10-LabC2_5.4",0.107689987108987
"NL-C10-LabC2_6.4",0.0973169779886128
