"","sample1"
"NL-C2-LabC2_0.0",0.154771370628204
"NL-C2-LabC2_1.0",0.0740377551292694
"NL-C2-LabC2_1.1",0.060646034401271
"NL-C2-LabC2_2.0",0.050771579486091
"NL-C2-LabC2_2.1",0.0419087693614465
"NL-C2-LabC2_2.2",0.0448723457917832
"NL-C2-LabC2_3.1",0.0455502050060899
"NL-C2-LabC2_3.2",0.0460052733084781
"NL-C2-LabC2_3.3",0.0474289442405166
"NL-C2-LabC2_4.2",0.0463373091725785
"NL-C2-LabC2_4.3",0.0463061054059103
"NL-C2-LabC2_4.4",0.0478457400509738
"NL-C2-LabC2_5.3",0.0726248249144731
"NL-C2-LabC2_5.4",0.0726085145507426
"NL-C2-LabC2_6.4",0.148285228552172
"NL-C4-LabC2_0.0",0.115363457072142
"NL-C4-LabC2_1.0",0.0526907693139542
"NL-C4-LabC2_1.1",0.0452043304666894
"NL-C4-LabC2_2.0",0.055891090115505
"NL-C4-LabC2_2.1",0.0494873584783442
"NL-C4-LabC2_2.2",0.0526741840679534
"NL-C4-LabC2_3.1",0.0498055760271934
"NL-C4-LabC2_3.2",0.050091703090878
"NL-C4-LabC2_3.3",0.0529161679025509
"NL-C4-LabC2_4.2",0.0507082360403171
"NL-C4-LabC2_4.3",0.0506356179626102
"NL-C4-LabC2_4.4",0.0534977733940196
"NL-C4-LabC2_5.3",0.108926530031488
"NL-C4-LabC2_5.4",0.108864866653891
"NL-C4-LabC2_6.4",0.103242339382463
"NL-C6-LabC2_0.0",0.116956554549218
"NL-C6-LabC2_1.0",0.0508884553750599
"NL-C6-LabC2_1.1",0.0458285741172795
"NL-C6-LabC2_2.0",0.0555210751178526
"NL-C6-LabC2_2.1",0.0491794092569394
"NL-C6-LabC2_2.2",0.0534015817395245
"NL-C6-LabC2_3.1",0.0494134546650284
"NL-C6-LabC2_3.2",0.0496282843048529
"NL-C6-LabC2_3.3",0.0536469072231897
"NL-C6-LabC2_4.2",0.0503162123629629
"NL-C6-LabC2_4.3",0.050174403560778
"NL-C6-LabC2_4.4",0.0542365443161139
"NL-C6-LabC2_5.3",0.109326565281124
"NL-C6-LabC2_5.4",0.109195007183472
"NL-C6-LabC2_6.4",0.102286970946604
"NL-C8-LabC2_0.0",0.118576034988362
"NL-C8-LabC2_1.0",0.049028128086408
"NL-C8-LabC2_1.1",0.0464631557251119
"NL-C8-LabC2_2.0",0.0551877044879546
"NL-C8-LabC2_2.1",0.0488553236686334
"NL-C8-LabC2_2.2",0.0541410256937751
"NL-C8-LabC2_3.1",0.0490245580111283
"NL-C8-LabC2_3.2",0.0491443307076565
"NL-C8-LabC2_3.3",0.0543897481549229
"NL-C8-LabC2_4.2",0.0499308699512723
"NL-C8-LabC2_4.3",0.0496926317651151
"NL-C8-LabC2_4.4",0.0549875498832678
"NL-C8-LabC2_5.3",0.109746382816657
"NL-C8-LabC2_5.4",0.109517553805245
"NL-C8-LabC2_6.4",0.10131500225449
"NL-C10-LabC2_0.0",0.120222252261534
"NL-C10-LabC2_1.0",0.0471082139792418
"NL-C10-LabC2_1.1",0.0471082139792418
"NL-C10-LabC2_2.0",0.0548926775080225
"NL-C10-LabC2_2.1",0.0485145736258718
"NL-C10-LabC2_2.2",0.0548926775080225
"NL-C10-LabC2_3.1",0.04863920373627
"NL-C10-LabC2_3.2",0.04863920373627
"NL-C10-LabC2_3.3",0.0551448530470527
"NL-C10-LabC2_4.2",0.0495526703895784
"NL-C10-LabC2_4.3",0.0491896620494132
"NL-C10-LabC2_4.4",0.055750954175847
"NL-C10-LabC2_5.3",0.110186619512455
"NL-C10-LabC2_5.4",0.109832035842229
"NL-C10-LabC2_6.4",0.100326188648951
