"","sample1"
"NL-C2-LabC2_0.0",112.78944953
"NL-C2-LabC2_1.0",53.34144021
"NL-C2-LabC2_1.1",43.60052235
"NL-C2-LabC2_2.0",36.9454207
"NL-C2-LabC2_2.1",29.43771662
"NL-C2-LabC2_2.2",31.58648769
"NL-C2-LabC2_3.1",32.75484971
"NL-C2-LabC2_3.2",32.10700532
"NL-C2-LabC2_3.3",33.06937115
"NL-C2-LabC2_4.2",32.43567334
"NL-C2-LabC2_4.3",30.82128575
"NL-C2-LabC2_4.4",34.56269134
"NL-C2-LabC2_5.3",48.83857293
"NL-C2-LabC2_5.4",51.02252813
"NL-C2-LabC2_6.4",108.62073444
"NL-C4-LabC2_0.0",115.27350758
"NL-C4-LabC2_1.0",51.44023831
"NL-C4-LabC2_1.1",43.98199854
"NL-C4-LabC2_2.0",55.75388422
"NL-C4-LabC2_2.1",47.81357584
"NL-C4-LabC2_2.2",50.94664351
"NL-C4-LabC2_3.1",49.10261314
"NL-C4-LabC2_3.2",47.94652124
"NL-C4-LabC2_3.3",50.59541974
"NL-C4-LabC2_4.2",47.72242872
"NL-C4-LabC2_4.3",44.35441617
"NL-C4-LabC2_4.4",52.68691404
"NL-C4-LabC2_5.3",105.24811167
"NL-C4-LabC2_5.4",107.28191412
"NL-C4-LabC2_6.4",103.66664159
"NL-C6-LabC2_0.0",117.80626409
"NL-C6-LabC2_1.0",50.02432539
"NL-C6-LabC2_1.1",44.94835779
"NL-C6-LabC2_2.0",55.81912367
"NL-C6-LabC2_2.1",47.89284228
"NL-C6-LabC2_2.2",52.06602805
"NL-C6-LabC2_3.1",49.09776088
"NL-C6-LabC2_3.2",47.87484265
"NL-C6-LabC2_3.3",51.70708598
"NL-C6-LabC2_4.2",47.68607094
"NL-C6-LabC2_4.3",44.21196138
"NL-C6-LabC2_4.4",53.84453406
"NL-C6-LabC2_5.3",106.51645869
"NL-C6-LabC2_5.4",108.47586855
"NL-C6-LabC2_6.4",103.51163977
"NL-C8-LabC2_0.0",120.39466963
"NL-C8-LabC2_1.0",48.52135153
"NL-C8-LabC2_1.1",45.93594962
"NL-C8-LabC2_2.0",55.91732916
"NL-C8-LabC2_2.1",47.95250235
"NL-C8-LabC2_2.2",53.21000741
"NL-C8-LabC2_3.1",49.09116983
"NL-C8-LabC2_3.2",47.77686048
"NL-C8-LabC2_3.3",52.84317741
"NL-C8-LabC2_4.2",47.6506555
"NL-C8-LabC2_4.3",44.04182726
"NL-C8-LabC2_4.4",55.02758899
"NL-C8-LabC2_5.3",107.81510309
"NL-C8-LabC2_5.4",109.67048202
"NL-C8-LabC2_6.4",103.32710286
"NL-C10-LabC2_0.0",123.03994691
"NL-C10-LabC2_1.0",46.92817471
"NL-C10-LabC2_1.1",46.94524055
"NL-C10-LabC2_2.0",56.05113254
"NL-C10-LabC2_2.1",47.99165622
"NL-C10-LabC2_2.2",54.37912196
"NL-C10-LabC2_3.1",49.08323854
"NL-C10-LabC2_3.2",47.65145346
"NL-C10-LabC2_3.3",54.00423071
"NL-C10-LabC2_4.2",47.61678639
"NL-C10-LabC2_4.3",43.84286628
"NL-C10-LabC2_4.4",56.23663769
"NL-C10-LabC2_5.3",109.14530454
"NL-C10-LabC2_5.4",110.86520693
"NL-C10-LabC2_6.4",103.11239019
