"","sample1"
"NL-C2-LabC2_0.0",0.158426889658142
"NL-C2-LabC2_1.0",0.0749247247643345
"NL-C2-LabC2_1.1",0.06124238722828
"NL-C2-LabC2_2.0",0.0518944645354945
"NL-C2-LabC2_2.1",0.04134895508559
"NL-C2-LabC2_2.2",0.0443671728233843
"NL-C2-LabC2_3.1",0.0460082834201168
"NL-C2-LabC2_3.2",0.0450983049414748
"NL-C2-LabC2_3.3",0.0464500681231864
"NL-C2-LabC2_4.2",0.0455599602856198
"NL-C2-LabC2_4.3",0.0432923509865924
"NL-C2-LabC2_4.4",0.0485476231157079
"NL-C2-LabC2_5.3",0.0685998844473856
"NL-C2-LabC2_5.4",0.0716675226966236
"NL-C2-LabC2_6.4",0.152571407888067
"NL-C4-LabC2_0.0",0.118373128252571
"NL-C4-LabC2_1.0",0.0528234288575506
"NL-C4-LabC2_1.1",0.04516464245149
"NL-C4-LabC2_2.0",0.0572530655647207
"NL-C4-LabC2_2.1",0.0490992480747965
"NL-C4-LabC2_2.2",0.0523165616528319
"NL-C4-LabC2_3.1",0.0504229466490709
"NL-C4-LabC2_3.2",0.049235768279787
"NL-C4-LabC2_3.3",0.0519558937314302
"NL-C4-LabC2_4.2",0.0490056500751163
"NL-C4-LabC2_4.3",0.0455470741203529
"NL-C4-LabC2_4.4",0.0541036267900569
"NL-C4-LabC2_5.3",0.1080781567474
"NL-C4-LabC2_5.4",0.110166646664193
"NL-C4-LabC2_6.4",0.106454162088631
"NL-C6-LabC2_0.0",0.120028818007922
"NL-C6-LabC2_1.0",0.0509680932044347
"NL-C6-LabC2_1.1",0.0457963614974598
"NL-C6-LabC2_2.0",0.0568722171787877
"NL-C6-LabC2_2.1",0.0487963971552187
"NL-C6-LabC2_2.2",0.0530483149897228
"NL-C6-LabC2_3.1",0.0500240479636958
"NL-C6-LabC2_3.2",0.0487780579409997
"NL-C6-LabC2_3.3",0.0526826010548297
"NL-C6-LabC2_4.2",0.0485857248303654
"NL-C6-LabC2_4.3",0.0450460721018972
"NL-C6-LabC2_4.4",0.0548603746102299
"NL-C6-LabC2_5.3",0.108526017132527
"NL-C6-LabC2_5.4",0.110522393567223
"NL-C6-LabC2_6.4",0.105464508764687
"NL-C8-LabC2_0.0",0.121712108618447
"NL-C8-LabC2_1.0",0.0490523046068613
"NL-C8-LabC2_1.1",0.046438611500187
"NL-C8-LabC2_2.0",0.0565292139701131
"NL-C8-LabC2_2.1",0.0484772306987186
"NL-C8-LabC2_2.2",0.0537922668950163
"NL-C8-LabC2_3.1",0.0496283582397631
"NL-C8-LabC2_3.2",0.0482996668379174
"NL-C8-LabC2_3.3",0.0534214227958405
"NL-C8-LabC2_4.2",0.0481720808386272
"NL-C8-LabC2_4.3",0.0445237623866387
"NL-C8-LabC2_4.4",0.0556297376681635
"NL-C8-LabC2_5.3",0.108994888048841
"NL-C8-LabC2_5.4",0.110870569775869
"NL-C8-LabC2_6.4",0.104457777118996
"NL-C10-LabC2_0.0",0.123423375496298
"NL-C10-LabC2_1.0",0.0470744166756258
"NL-C10-LabC2_1.1",0.047091535697792
"NL-C10-LabC2_2.0",0.0562258043197753
"NL-C10-LabC2_2.1",0.0481412123061385
"NL-C10-LabC2_2.2",0.0545485832640797
"NL-C10-LabC2_3.1",0.0492361963170226
"NL-C10-LabC2_3.2",0.0477999493744902
"NL-C10-LabC2_3.3",0.0541725237429156
"NL-C10-LabC2_4.2",0.0477651742717254
"NL-C10-LabC2_4.3",0.0439794935190324
"NL-C10-LabC2_4.4",0.0564118875582677
"NL-C10-LabC2_5.3",0.109485433342652
"NL-C10-LabC2_5.4",0.111210695453284
"NL-C10-LabC2_6.4",0.103433718660901
