"","sample1"
"NL-C2-LabC2_0.0",99.1298812694658
"NL-C2-LabC2_1.0",46.9197269237607
"NL-C2-LabC2_1.1",38.3850222029185
"NL-C2-LabC2_2.0",32.5170468126331
"NL-C2-LabC2_2.1",25.9375441698244
"NL-C2-LabC2_2.2",27.8490537823089
"NL-C2-LabC2_3.1",28.8775328107277
"NL-C2-LabC2_3.2",28.3311065138744
"NL-C2-LabC2_3.3",29.1930293971433
"NL-C2-LabC2_4.2",28.6382447519418
"NL-C2-LabC2_4.3",27.2306877132505
"NL-C2-LabC2_4.4",30.5428878031546
"NL-C2-LabC2_5.3",43.1748228751839
"NL-C2-LabC2_5.4",45.1252007726448
"NL-C2-LabC2_6.4",96.1235164149424
"NL-C4-LabC2_0.0",99.1566019535632
"NL-C4-LabC2_1.0",44.2939693618139
"NL-C4-LabC2_1.1",37.8966727776284
"NL-C4-LabC2_2.0",48.0475643427973
"NL-C4-LabC2_2.1",41.2407778956034
"NL-C4-LabC2_2.2",43.9623300490118
"NL-C4-LabC2_3.1",42.3872116182706
"NL-C4-LabC2_3.2",41.4163412027652
"NL-C4-LabC2_3.3",43.7139900944849
"NL-C4-LabC2_4.2",41.2564432649512
"NL-C4-LabC2_4.3",38.3615030799344
"NL-C4-LabC2_4.4",45.5681423198605
"NL-C4-LabC2_5.3",91.1019514794259
"NL-C4-LabC2_5.4",92.8826457151269
"NL-C4-LabC2_6.4",89.8259279472972
"NL-C6-LabC2_0.0",99.1782701107855
"NL-C6-LabC2_1.0",42.1671005444295
"NL-C6-LabC2_1.1",37.9049536005146
"NL-C6-LabC2_2.0",47.1004404334399
"NL-C6-LabC2_2.1",40.438692534835
"NL-C6-LabC2_2.2",43.9719364546736
"NL-C6-LabC2_3.1",41.4990003705627
"NL-C6-LabC2_3.2",40.4830156975454
"NL-C6-LabC2_3.3",43.7235411218821
"NL-C6-LabC2_4.2",40.3651427928291
"NL-C6-LabC2_4.3",37.4325488593047
"NL-C6-LabC2_4.4",45.5780985793616
"NL-C6-LabC2_5.3",90.2767243788204
"NL-C6-LabC2_5.4",91.937368732792
"NL-C6-LabC2_6.4",87.8208381509648
"NL-C8-LabC2_0.0",99.1999430269256
"NL-C8-LabC2_1.0",40.0383560551083
"NL-C8-LabC2_1.1",37.913236253537
"NL-C8-LabC2_2.0",46.199153452848
"NL-C8-LabC2_2.1",39.6358903439253
"NL-C8-LabC2_2.2",43.9815449883263
"NL-C8-LabC2_3.1",40.6279560885027
"NL-C8-LabC2_3.2",39.5488586300401
"NL-C8-LabC2_3.3",43.7330942509775
"NL-C8-LabC2_4.2",39.4938503207389
"NL-C8-LabC2_4.3",36.5027678565071
"NL-C8-LabC2_4.4",45.5880570583458
"NL-C8-LabC2_5.3",89.4714178987642
"NL-C8-LabC2_5.4",90.9912298937804
"NL-C8-LabC2_6.4",85.8357657085964
"NL-C10-LabC2_0.0",99.2216207063956
"NL-C10-LabC2_1.0",37.9077352610293
"NL-C10-LabC2_1.1",37.9215207395553
"NL-C10-LabC2_2.0",45.3437644098821
"NL-C10-LabC2_2.1",38.8323711002933
"NL-C10-LabC2_2.2",43.9911556329542
"NL-C10-LabC2_3.1",39.7741021608524
"NL-C10-LabC2_3.2",38.613869712093
"NL-C10-LabC2_3.3",43.7426494958557
"NL-C10-LabC2_4.2",38.6425929618214
"NL-C10-LabC2_4.3",35.5721598033695
"NL-C10-LabC2_4.4",45.5980177653882
"NL-C10-LabC2_5.3",88.6860589868166
"NL-C10-LabC2_5.4",90.0442289138769
"NL-C10-LabC2_6.4",83.870738881356
