"","sample1"
"NL-C2-LabC2_0.0",0
"NL-C2-LabC2_1.0",0
"NL-C2-LabC2_1.1",0
"NL-C2-LabC2_2.0",0
"NL-C2-LabC2_2.1",0
"NL-C2-LabC2_2.2",0
"NL-C2-LabC2_3.1",0
"NL-C2-LabC2_3.2",0
"NL-C2-LabC2_3.3",0
"NL-C2-LabC2_4.2",0
"NL-C2-LabC2_4.3",0
"NL-C2-LabC2_4.4",0
"NL-C2-LabC2_5.3",0
"NL-C2-LabC2_5.4",0
"NL-C2-LabC2_6.4",0
"NL-C4-LabC2_0.0",0
"NL-C4-LabC2_1.0",0
"NL-C4-LabC2_1.1",0
"NL-C4-LabC2_2.0",0
"NL-C4-LabC2_2.1",0
"NL-C4-LabC2_2.2",0
"NL-C4-LabC2_3.1",0
"NL-C4-LabC2_3.2",0
"NL-C4-LabC2_3.3",0
"NL-C4-LabC2_4.2",0
"NL-C4-LabC2_4.3",0
"NL-C4-LabC2_4.4",0
"NL-C4-LabC2_5.3",0
"NL-C4-LabC2_5.4",0
"NL-C4-LabC2_6.4",0
"NL-C6-LabC2_0.0",0
"NL-C6-LabC2_1.0",0
"NL-C6-LabC2_1.1",0
"NL-C6-LabC2_2.0",0
"NL-C6-LabC2_2.1",0
"NL-C6-LabC2_2.2",0
"NL-C6-LabC2_3.1",0
"NL-C6-LabC2_3.2",0
"NL-C6-LabC2_3.3",0
"NL-C6-LabC2_4.2",0
"NL-C6-LabC2_4.3",0
"NL-C6-LabC2_4.4",0
"NL-C6-LabC2_5.3",0
"NL-C6-LabC2_5.4",0
"NL-C6-LabC2_6.4",0
"NL-C8-LabC2_0.0",0
"NL-C8-LabC2_1.0",0
"NL-C8-LabC2_1.1",0
"NL-C8-LabC2_2.0",0
"NL-C8-LabC2_2.1",0
"NL-C8-LabC2_2.2",0
"NL-C8-LabC2_3.1",0
"NL-C8-LabC2_3.2",0
"NL-C8-LabC2_3.3",0
"NL-C8-LabC2_4.2",0
"NL-C8-LabC2_4.3",0
"NL-C8-LabC2_4.4",0
"NL-C8-LabC2_5.3",0
"NL-C8-LabC2_5.4",0
"NL-C8-LabC2_6.4",0
"NL-C10-LabC2_0.0",0
"NL-C10-LabC2_1.0",0
"NL-C10-LabC2_1.1",0
"NL-C10-LabC2_2.0",0
"NL-C10-LabC2_2.1",0
"NL-C10-LabC2_2.2",0
"NL-C10-LabC2_3.1",0
"NL-C10-LabC2_3.2",0
"NL-C10-LabC2_3.3",0
"NL-C10-LabC2_4.2",0
"NL-C10-LabC2_4.3",0
"NL-C10-LabC2_4.4",0
"NL-C10-LabC2_5.3",0
"NL-C10-LabC2_5.4",0
"NL-C10-LabC2_6.4",0
