"","sample1"
"NL-C2-LabC2_0.0",100.000000003604
"NL-C2-LabC2_1.0",49.9999999971145
"NL-C2-LabC2_1.1",43.5105630222496
"NL-C2-LabC2_2.0",33.3333333376597
"NL-C2-LabC2_2.1",30.0886148408523
"NL-C2-LabC2_2.2",30.3342727996131
"NL-C2-LabC2_3.1",31.1701876762464
"NL-C2-LabC2_3.2",31.2930166556268
"NL-C2-LabC2_3.3",31.2859314019409
"NL-C2-LabC2_4.2",31.2520736625
"NL-C2-LabC2_4.3",31.248531035657
"NL-C2-LabC2_4.4",31.2487034593779
"NL-C2-LabC2_5.3",47.9163785801012
"NL-C2-LabC2_5.4",47.9164647825867
"NL-C2-LabC2_6.4",96.8348632195202
"NL-C4-LabC2_0.0",99.9999999999613
"NL-C4-LabC2_1.0",47.8368543378592
"NL-C4-LabC2_1.1",43.5105630227917
"NL-C4-LabC2_2.0",48.9535211656834
"NL-C4-LabC2_2.1",45.8140846582038
"NL-C4-LabC2_2.2",47.0009394657917
"NL-C4-LabC2_3.1",45.7591662637125
"NL-C4-LabC2_3.2",45.8614117100721
"NL-C4-LabC2_3.3",46.8710252381503
"NL-C4-LabC2_4.2",45.8805631877045
"NL-C4-LabC2_4.3",45.8606793128679
"NL-C4-LabC2_4.4",46.8747402853954
"NL-C4-LabC2_5.3",95.87705159991
"NL-C4-LabC2_5.4",95.8606851621535
"NL-C4-LabC2_6.4",91.550845927842
"NL-C6-LabC2_0.0",99.9999999962775
"NL-C6-LabC2_1.0",45.6737086850778
"NL-C6-LabC2_1.1",43.5105630263024
"NL-C6-LabC2_2.0",47.9538343218215
"NL-C6-LabC2_2.1",44.8728878037117
"NL-C6-LabC2_2.2",47.0009394628106
"NL-C6-LabC2_3.1",44.7834104718995
"NL-C6-LabC2_3.2",44.8447129269049
"NL-C6-LabC2_3.3",46.8710252365774
"NL-C6-LabC2_4.2",44.9050085535671
"NL-C6-LabC2_4.3",44.8467907642059
"NL-C6-LabC2_4.4",46.8747402857107
"NL-C6-LabC2_5.3",94.9014672176841
"NL-C6-LabC2_5.4",94.8467162591306
"NL-C6-LabC2_6.4",89.4936899036061
"NL-C8-LabC2_0.0",99.9999999956496
"NL-C8-LabC2_1.0",43.5105630227685
"NL-C8-LabC2_1.1",43.5105630227685
"NL-C8-LabC2_2.0",47.000939468088
"NL-C8-LabC2_2.1",43.9316909441331
"NL-C8-LabC2_2.2",47.000939468088
"NL-C8-LabC2_3.1",43.8280141435881
"NL-C8-LabC2_3.2",43.8280141435881
"NL-C8-LabC2_3.3",46.8710252355564
"NL-C8-LabC2_4.2",43.9514466002239
"NL-C8-LabC2_4.3",43.8329022224276
"NL-C8-LabC2_4.4",46.8747402819962
"NL-C8-LabC2_5.3",93.9478147256677
"NL-C8-LabC2_5.4",93.8327473460855
"NL-C8-LabC2_6.4",87.4584674900026
"NL-C10-LabC2_0.0",99.9999999974297
"NL-C10-LabC2_1.0",41.3474173668856
"NL-C10-LabC2_1.1",43.5105630259182
"NL-C10-LabC2_2.0",46.0948366082133
"NL-C10-LabC2_2.1",42.9904940955189
"NL-C10-LabC2_2.2",47.0009394668362
"NL-C10-LabC2_3.1",42.8929772717406
"NL-C10-LabC2_3.2",42.8113153616443
"NL-C10-LabC2_3.3",46.8710252350009
"NL-C10-LabC2_4.2",43.0198773188966
"NL-C10-LabC2_4.3",42.819013669364
"NL-C10-LabC2_4.4",46.8747402816374
"NL-C10-LabC2_5.3",93.0160941227773
"NL-C10-LabC2_5.4",92.8187784374459
"NL-C10-LabC2_6.4",85.4451787086213
