"","sample1"
"NL-C2-LabC2_0.0",0.148426776288873
"NL-C2-LabC2_1.0",0.0742058173838126
"NL-C2-LabC2_1.1",0.0644905406441519
"NL-C2-LabC2_2.0",0.0504801231829181
"NL-C2-LabC2_2.1",0.0441007728697454
"NL-C2-LabC2_2.2",0.0444875376916996
"NL-C2-LabC2_3.1",0.0471782758122487
"NL-C2-LabC2_3.2",0.0459724656224762
"NL-C2-LabC2_3.3",0.0459100135895308
"NL-C2-LabC2_4.2",0.0465727444687819
"NL-C2-LabC2_4.3",0.0443332776077736
"NL-C2-LabC2_4.4",0.0480002731120417
"NL-C2-LabC2_5.3",0.0693277589116859
"NL-C2-LabC2_5.4",0.0724099670532344
"NL-C2-LabC2_6.4",0.154103655761026
"NL-C4-LabC2_0.0",0.110901260892928
"NL-C4-LabC2_1.0",0.0524533239704078
"NL-C4-LabC2_1.1",0.0476230235299036
"NL-C4-LabC2_2.0",0.0553775965874141
"NL-C4-LabC2_2.1",0.0502379537741423
"NL-C4-LabC2_2.2",0.0515727744305916
"NL-C4-LabC2_3.1",0.0517446420946757
"NL-C4-LabC2_3.2",0.0503602918987924
"NL-C4-LabC2_3.3",0.0513999136824318
"NL-C4-LabC2_4.2",0.0501351900998108
"NL-C4-LabC2_4.3",0.046749554514835
"NL-C4-LabC2_4.4",0.0534959426071567
"NL-C4-LabC2_5.3",0.108480326749666
"NL-C4-LabC2_5.4",0.110637675925623
"NL-C4-LabC2_6.4",0.10883052924162
"NL-C6-LabC2_0.0",0.112452441328822
"NL-C6-LabC2_1.0",0.0507300043351108
"NL-C6-LabC2_1.1",0.048289128083003
"NL-C6-LabC2_2.0",0.0549939336800054
"NL-C6-LabC2_2.1",0.0498857424065273
"NL-C6-LabC2_2.2",0.0522941243977778
"NL-C6-LabC2_3.1",0.0513386734301365
"NL-C6-LabC2_3.2",0.0499222624317989
"NL-C6-LabC2_3.3",0.0521188445396163
"NL-C6-LabC2_4.2",0.0497065037642139
"NL-C6-LabC2_4.3",0.0462652397777837
"NL-C6-LabC2_4.4",0.0542441907337954
"NL-C6-LabC2_5.3",0.108908849840961
"NL-C6-LabC2_5.4",0.111000519217067
"NL-C6-LabC2_6.4",0.107849542033381
"NL-C8-LabC2_0.0",0.114029480427625
"NL-C8-LabC2_1.0",0.0489499938663121
"NL-C8-LabC2_1.1",0.0489663368160232
"NL-C8-LabC2_2.0",0.0546458836501683
"NL-C8-LabC2_2.1",0.0495156498116763
"NL-C8-LabC2_2.2",0.0530274994912199
"NL-C8-LabC2_3.1",0.0509371977517511
"NL-C8-LabC2_3.2",0.0494639252333729
"NL-C8-LabC2_3.3",0.0528497601815252
"NL-C8-LabC2_4.2",0.0492838680848771
"NL-C8-LabC2_4.3",0.0457598940384988
"NL-C8-LabC2_4.4",0.0550049124171423
"NL-C8-LabC2_5.3",0.109358060765501
"NL-C8-LabC2_5.4",0.111355916003542
"NL-C8-LabC2_6.4",0.106851621460764
"NL-C10-LabC2_0.0",0.115632729883743
"NL-C10-LabC2_1.0",0.0471117409320309
"NL-C10-LabC2_1.1",0.0496548007501442
"NL-C10-LabC2_2.0",0.0543351035111208
"NL-C10-LabC2_2.1",0.0491270975514769
"NL-C10-LabC2_2.2",0.0537730632706148
"NL-C10-LabC2_3.1",0.0505405904944848
"NL-C10-LabC2_3.2",0.0489846410645591
"NL-C10-LabC2_3.3",0.0535928236261165
"NL-C10-LabC2_4.2",0.048867733738952
"NL-C10-LabC2_4.3",0.0452328695391184
"NL-C10-LabC2_4.4",0.0557782773110111
"NL-C10-LabC2_5.3",0.109828618987828
"NL-C10-LabC2_5.4",0.111703388287131
"NL-C10-LabC2_6.4",0.105836521051668
