"","sample1"
"NL-C2-LabC2_0.0",99.0649195126614
"NL-C2-LabC2_1.0",49.0321327135046
"NL-C2-LabC2_1.1",42.6406125194705
"NL-C2-LabC2_2.0",33.0216242431748
"NL-C2-LabC2_2.1",28.8674759038376
"NL-C2-LabC2_2.2",29.1397256006962
"NL-C2-LabC2_3.1",30.5731277493715
"NL-C2-LabC2_3.2",29.8112426963918
"NL-C2-LabC2_3.3",29.790244912322
"NL-C2-LabC2_4.2",29.8984937157674
"NL-C2-LabC2_4.3",28.4794558636916
"NL-C2-LabC2_4.4",30.8553030110717
"NL-C2-LabC2_5.3",44.0904166582695
"NL-C2-LabC2_5.4",46.0807619686206
"NL-C2-LabC2_6.4",97.0888681064231
"NL-C4-LabC2_0.0",99.0916226906402
"NL-C4-LabC2_1.0",46.4091429745672
"NL-C4-LabC2_1.1",42.1538457506008
"NL-C4-LabC2_2.0",48.5170849081008
"NL-C4-LabC2_2.1",44.033403668364
"NL-C4-LabC2_2.2",45.2231078452512
"NL-C4-LabC2_3.1",44.9102801131884
"NL-C4-LabC2_3.2",43.7278601512607
"NL-C4-LabC2_3.3",44.6500410447627
"NL-C4-LabC2_4.2",43.1064952841722
"NL-C4-LabC2_4.3",40.213051209312
"NL-C4-LabC2_4.4",46.0362322068022
"NL-C4-LabC2_5.3",92.3997075499186
"NL-C4-LabC2_5.4",94.2783665553742
"NL-C4-LabC2_6.4",91.8311045549074
"NL-C6-LabC2_0.0",99.1132766442406
"NL-C6-LabC2_1.0",44.2846059369959
"NL-C6-LabC2_1.1",42.1630568693405
"NL-C6-LabC2_2.0",47.5474859002238
"NL-C6-LabC2_2.1",43.1403938522056
"NL-C6-LabC2_2.2",45.2329897542248
"NL-C6-LabC2_3.1",43.9720988920083
"NL-C6-LabC2_3.2",42.7682615052756
"NL-C6-LabC2_3.3",44.6597966150859
"NL-C6-LabC2_4.2",42.1760052455154
"NL-C6-LabC2_4.3",39.2646489303439
"NL-C6-LabC2_4.4",46.0462907321679
"NL-C6-LabC2_5.3",91.5450699087955
"NL-C6-LabC2_5.4",93.3235748689948
"NL-C6-LabC2_6.4",89.8068677066528
"NL-C8-LabC2_0.0",99.1349353624436
"NL-C8-LabC2_1.0",42.1581946586233
"NL-C8-LabC2_1.1",42.1722700282157
"NL-C8-LabC2_2.0",46.6236734442817
"NL-C8-LabC2_2.1",42.24658676697
"NL-C8-LabC2_2.2",45.2428738397359
"NL-C8-LabC2_3.1",43.0530442036906
"NL-C8-LabC2_3.2",41.8078075268136
"NL-C8-LabC2_3.3",44.6695543343729
"NL-C8-LabC2_4.2",41.2660855791724
"NL-C8-LabC2_4.3",38.3154022721932
"NL-C8-LabC2_4.4",46.0563515096623
"NL-C8-LabC2_5.3",90.7107696588203
"NL-C8-LabC2_5.4",92.3679125746382
"NL-C8-LabC2_6.4",87.8028521084117
"NL-C10-LabC2_0.0",99.1565988310897
"NL-C10-LabC2_1.0",40.0299085093425
"NL-C10-LabC2_1.1",42.1814852186248
"NL-C10-LabC2_2.0",45.7457085035178
"NL-C10-LabC2_2.1",41.3519821575033
"NL-C10-LabC2_2.2",45.2527601040372
"NL-C10-LabC2_3.1",42.1531420534618
"NL-C10-LabC2_3.2",40.8464979433444
"NL-C10-LabC2_3.3",44.6793142109865
"NL-C10-LabC2_4.2",40.376764176263
"NL-C10-LabC2_4.3",37.3653109409698
"NL-C10-LabC2_4.4",46.0664145365894
"NL-C10-LabC2_5.3",89.8968343370909
"NL-C10-LabC2_5.4",91.4113793732373
"NL-C10-LabC2_6.4",85.8190863353153
