"","sample1"
"NL-C2-LabC2_0.0",100
"NL-C2-LabC2_1.0",50
"NL-C2-LabC2_1.1",50
"NL-C2-LabC2_2.0",33.3333333333333
"NL-C2-LabC2_2.1",33.3333333333333
"NL-C2-LabC2_2.2",33.3333333333333
"NL-C2-LabC2_3.1",33.3333333333333
"NL-C2-LabC2_3.2",33.3333333333333
"NL-C2-LabC2_3.3",33.3333333333333
"NL-C2-LabC2_4.2",33.3333333333333
"NL-C2-LabC2_4.3",33.3333333333333
"NL-C2-LabC2_4.4",33.3333333333333
"NL-C2-LabC2_5.3",50
"NL-C2-LabC2_5.4",50
"NL-C2-LabC2_6.4",100
"NL-C4-LabC2_0.0",100
"NL-C4-LabC2_1.0",50
"NL-C4-LabC2_1.1",50
"NL-C4-LabC2_2.0",50
"NL-C4-LabC2_2.1",50
"NL-C4-LabC2_2.2",50
"NL-C4-LabC2_3.1",50
"NL-C4-LabC2_3.2",50
"NL-C4-LabC2_3.3",50
"NL-C4-LabC2_4.2",50
"NL-C4-LabC2_4.3",50
"NL-C4-LabC2_4.4",50
"NL-C4-LabC2_5.3",100
"NL-C4-LabC2_5.4",100
"NL-C4-LabC2_6.4",100
"NL-C6-LabC2_0.0",100
"NL-C6-LabC2_1.0",50
"NL-C6-LabC2_1.1",50
"NL-C6-LabC2_2.0",50
"NL-C6-LabC2_2.1",50
"NL-C6-LabC2_2.2",50
"NL-C6-LabC2_3.1",50
"NL-C6-LabC2_3.2",50
"NL-C6-LabC2_3.3",50
"NL-C6-LabC2_4.2",50
"NL-C6-LabC2_4.3",50
"NL-C6-LabC2_4.4",50
"NL-C6-LabC2_5.3",100
"NL-C6-LabC2_5.4",100
"NL-C6-LabC2_6.4",100
"NL-C8-LabC2_0.0",100
"NL-C8-LabC2_1.0",50
"NL-C8-LabC2_1.1",50
"NL-C8-LabC2_2.0",50
"NL-C8-LabC2_2.1",50
"NL-C8-LabC2_2.2",50
"NL-C8-LabC2_3.1",50
"NL-C8-LabC2_3.2",50
"NL-C8-LabC2_3.3",50
"NL-C8-LabC2_4.2",50
"NL-C8-LabC2_4.3",50
"NL-C8-LabC2_4.4",50
"NL-C8-LabC2_5.3",100
"NL-C8-LabC2_5.4",100
"NL-C8-LabC2_6.4",100
"NL-C10-LabC2_0.0",100
"NL-C10-LabC2_1.0",50
"NL-C10-LabC2_1.1",50
"NL-C10-LabC2_2.0",50
"NL-C10-LabC2_2.1",50
"NL-C10-LabC2_2.2",50
"NL-C10-LabC2_3.1",50
"NL-C10-LabC2_3.2",50
"NL-C10-LabC2_3.3",50
"NL-C10-LabC2_4.2",50
"NL-C10-LabC2_4.3",50
"NL-C10-LabC2_4.4",50
"NL-C10-LabC2_5.3",100
"NL-C10-LabC2_5.4",100
"NL-C10-LabC2_6.4",100
