"","sample1","sample2","sample3"
"NL-C2-LabC2_0",100,100,100
"NL-C2-LabC2_1",100,100,100
"NL-C2-LabC2_2",100,100,100
"NL-C2-LabC2_3",100,100,100
"NL-C2-LabC2_4",25,100,100
"NL-C2-LabC2_5",11.88248414,97.77748414,97.77748414
"NL-C2-LabC2_6",5.84363595,6.76771245,96.76771245
"NL-C4-LabC2_0",100,100,100
"NL-C4-LabC2_1",100,100,100
"NL-C4-LabC2_2",100,100,100
"NL-C4-LabC2_3",99.26900315,99.26900315,99.26900315
"NL-C4-LabC2_4",24.27891543,99.27891543,99.27891543
"NL-C4-LabC2_5",11.69643844,97.05643844,97.05643844
"NL-C4-LabC2_6",5.70789774,5.68999974,95.68999974
"NL-C6-LabC2_0",100,100,100
"NL-C6-LabC2_1",100,100,100
"NL-C6-LabC2_2",100,100,100
"NL-C6-LabC2_3",98.51363825,98.51363825,98.51363825
"NL-C6-LabC2_4",23.55812699,98.55812699,98.55812699
"NL-C6-LabC2_5",11.51040796,96.33540796,96.33540796
"NL-C6-LabC2_6",5.57216946,4.61229696,94.61229696
"NL-C8-LabC2_0",100,100,100
"NL-C8-LabC2_1",100,100,100
"NL-C8-LabC2_2",100,100,100
"NL-C8-LabC2_3",97.73292526,97.73292526,97.73292526
"NL-C8-LabC2_4",22.8382348,97.8382348,97.8382348
"NL-C8-LabC2_5",11.32440523,95.61440523,95.61440523
"NL-C8-LabC2_6",5.43646701,3.53462001,93.53462001
"NL-C10-LabC2_0",100,100,100
"NL-C10-LabC2_1",100,100,100
"NL-C10-LabC2_2",100,100,100
"NL-C10-LabC2_3",96.92588415,96.92588415,96.92588415
"NL-C10-LabC2_4",22.1199019,97.1199019,97.1199019
"NL-C10-LabC2_5",11.13843741,94.89343741,94.89343741
"NL-C10-LabC2_6",5.30081041,2.45698891,92.45698891
