"","sample1","sample2","sample3"
"NL-C2-LabC2_0",0.225873277997854,0.165413604415452,0.143979111065729
"NL-C2-LabC2_1",0.225873277997854,0.165413604415452,0.143979111065729
"NL-C2-LabC2_2",0.225873277997854,0.165413604415452,0.143979111065729
"NL-C2-LabC2_3",0.225873277997854,0.165413604415452,0.143979111065729
"NL-C2-LabC2_4",0.0564683194994636,0.165413604415452,0.143979111065729
"NL-C2-LabC2_5",0.0268393564345931,0.161737260822721,0.140779152487206
"NL-C2-LabC2_6",0.0131992120745261,0.0111947171000183,0.13932529218415
"NL-C4-LabC2_0",0.226781922352178,0.166307897081951,0.144656178691644
"NL-C4-LabC2_1",0.226781922352178,0.166307897081951,0.144656178691644
"NL-C4-LabC2_2",0.226781922352178,0.166307897081951,0.144656178691644
"NL-C4-LabC2_3",0.225124153643414,0.165092191592981,0.143598746582078
"NL-C4-LabC2_4",0.0550601911384135,0.165108676497402,0.143613085307547
"NL-C4-LabC2_5",0.0265254079409711,0.161412521752202,0.140398135021512
"NL-C4-LabC2_6",0.0129444802206685,0.00946291891156248,0.138421497013929
"NL-C6-LabC2_0",0.227710374886174,0.167218635830109,0.145344724004315
"NL-C6-LabC2_1",0.227710374886174,0.167218635830109,0.145344724004315
"NL-C6-LabC2_2",0.227710374886174,0.167218635830109,0.145344724004315
"NL-C6-LabC2_3",0.224325774973085,0.164733161988259,0.143184375621071
"NL-C6-LabC2_4",0.05364429928509,0.164807555452385,0.143249037657437
"NL-C6-LabC2_5",0.026210393116644,0.161090755012083,0.140018432817893
"NL-C6-LabC2_6",0.0126884079666589,0.00771262005694561,0.137513981890655
"NL-C8-LabC2_0",0.228659216829108,0.168146302196816,0.146045059203544
"NL-C8-LabC2_1",0.228659216829108,0.168146302196816,0.146045059203544
"NL-C8-LabC2_2",0.228659216829108,0.168146302196816,0.146045059203544
"NL-C8-LabC2_3",0.223475341483693,0.164334299853468,0.142734108557322
"NL-C8-LabC2_4",0.0522217288312727,0.164511373950838,0.142887907937362
"NL-C8-LabC2_5",0.0258942963094725,0.160772086761724,0.13964011472527
"NL-C8-LabC2_6",0.0124309828882388,0.00594333284352372,0.136602691169414
"NL-C10-LabC2_0",0.229629016435618,0.169091377165324,0.146757493195016
"NL-C10-LabC2_1",0.229629016435618,0.169091377165324,0.146757493195016
"NL-C10-LabC2_2",0.229629016435618,0.169091377165324,0.146757493195016
"NL-C10-LabC2_3",0.222569954445172,0.163893312338902,0.142245997835645
"NL-C10-LabC2_4",0.0507937131694936,0.164221379624322,0.142530733421899
"NL-C10-LabC2_5",0.02557708427088,0.160456620156084,0.139263229949498
"NL-C10-LabC2_6",0.0121721988075999,0.00415455638471829,0.13568755920791
