"","sample1","sample2","sample3"
"NL-C2-LabC2_0",87.8893209272194,87.8893209272194,87.8893209272194
"NL-C2-LabC2_1",88.8399079422009,88.8399079422009,88.8399079422009
"NL-C2-LabC2_2",89.8007762480551,89.8007762480551,89.8007762480551
"NL-C2-LabC2_3",90.7720370444305,90.7720370444305,90.7720370444305
"NL-C2-LabC2_4",22.9384506834202,91.7538027336809,91.7538027336809
"NL-C2-LabC2_5",11.0205509528723,90.6848882197228,90.6848882197228
"NL-C2-LabC2_6",5.4783680601658,6.34468335188924,90.7190573946326
"NL-C4-LabC2_0",86.0185519077298,86.0185519077298,86.0185519077298
"NL-C4-LabC2_1",86.9489051932981,86.9489051932981,86.9489051932981
"NL-C4-LabC2_2",87.8893209272194,87.8893209272194,87.8893209272194
"NL-C4-LabC2_3",88.1904910136005,88.1904910136005,88.1904910136005
"NL-C4-LabC2_4",21.8026545207488,89.1532367067902,89.1532367067902
"NL-C4-LabC2_5",10.6170954336358,88.1001062547617,88.1001062547617
"NL-C4-LabC2_6",5.23721323259983,5.22079113698656,87.7992135972994
"NL-C6-LabC2_0",84.1876031609123,84.1876031609123,84.1876031609123
"NL-C6-LabC2_1",85.0981534023171,85.0981534023171,85.0981534023171
"NL-C6-LabC2_2",86.0185519077298,86.0185519077298,86.0185519077298
"NL-C6-LabC2_3",85.6565299244612,85.6565299244612,85.6565299244612
"NL-C6-LabC2_4",20.705077834683,86.6220685300975,86.6220685300975
"NL-C6-LabC2_5",10.2258358354358,85.5842877474077,85.5842877474077
"NL-C6-LabC2_6",5.00385142893706,4.14187847294545,84.9625770961951
"NL-C8-LabC2_0",82.3956270919547,82.3956270919547,82.3956270919547
"NL-C8-LabC2_1",83.2867958070906,83.2867958070906,83.2867958070906
"NL-C8-LabC2_2",84.1876031609123,84.1876031609123,84.1876031609123
"NL-C8-LabC2_3",83.1689146623267,83.1689146623267,83.1689146623267
"NL-C8-LabC2_4",19.6451188562472,84.1590327870446,84.1590327870446
"NL-C8-LabC2_5",9.84644636713759,83.1356785545686,83.1356785545686
"NL-C8-LabC2_6",4.77807393752131,3.10655352414661,82.206942358644
"NL-C10-LabC2_0",80.6417941475326,80.6417941475326,80.6417941475326
"NL-C10-LabC2_1",81.5139938820707,81.5139938820707,81.5139938820707
"NL-C10-LabC2_2",82.3956270919547,82.3956270919547,82.3956270919547
"NL-C10-LabC2_3",80.7264632162276,80.7264632162276,80.7264632162276
"NL-C10-LabC2_4",18.6222152311551,81.7629176018393,81.7629176018393
"NL-C10-LabC2_5",9.47860455378288,80.7525629358936,80.7525629358936
"NL-C10-LabC2_6",4.5596803540562,2.11346628091552,79.5301629978724
