"","sample1","sample2","sample3"
"NL-C2-LabC2_0",0.211754627132621,0.155074103661066,0.134979415227232
"NL-C2-LabC2_1",0.227786590726537,0.166814779262437,0.145198719995934
"NL-C2-LabC2_2",0.228306782803599,0.167195731127217,0.145530307660952
"NL-C2-LabC2_3",0.228316159910147,0.167202598256462,0.145536284939349
"NL-C2-LabC2_4",0.0625171737820049,0.167202672527171,0.14553634958597
"NL-C2-LabC2_5",0.0278255278147643,0.163565666423646,0.142370631097572
"NL-C2-LabC2_6",0.013493137830327,0.0129444487420011,0.140848291492992
"NL-C4-LabC2_0",0.212606474393493,0.155912496546236,0.13561416121336
"NL-C4-LabC2_1",0.228702931427099,0.167716646955192,0.145881522662942
"NL-C4-LabC2_2",0.229225216134683,0.16809965839875,0.14621466963194
"NL-C4-LabC2_3",0.227629509251044,0.166929465229921,0.145196824567794
"NL-C4-LabC2_4",0.0611161049140399,0.166894749254745,0.145166628284889
"NL-C4-LabC2_5",0.0274848784635713,0.163237842464702,0.141985816239972
"NL-C4-LabC2_6",0.01323488541607,0.0112091411504537,0.139940377399103
"NL-C6-LabC2_0",0.213476892692777,0.156766308060529,0.136259667861014
"NL-C6-LabC2_1",0.229639249181211,0.168635100622994,0.146575900682216
"NL-C6-LabC2_2",0.23016367214055,0.169020209522419,0.146910633389615
"NL-C6-LabC2_3",0.226896012890707,0.16662061081112,0.144824926789475
"NL-C6-LabC2_4",0.0597059042599718,0.166589381878065,0.14479778292101
"NL-C6-LabC2_5",0.0271429900180091,0.162913025070984,0.141602331272828
"NL-C6-LabC2_6",0.0129752788167743,0.0094553640338892,0.139028757083843
"NL-C8-LabC2_0",0.214366425360946,0.15763598879806,0.136916227217337
"NL-C8-LabC2_1",0.230596128454953,0.169570624974481,0.147282168211816
"NL-C8-LabC2_2",0.231122736622014,0.169957870313782,0.147618513809474
"NL-C8-LabC2_3",0.226112982276382,0.166273909177708,0.1444187745633
"NL-C8-LabC2_4",0.0582875455698463,0.166287608763159,0.14443067346766
"NL-C8-LabC2_5",0.0267998738729663,0.162591365111409,0.141220266126466
"NL-C8-LabC2_6",0.0127143078428925,0.00768263286140127,0.138113376603948
"NL-C10-LabC2_0",0.215275605593169,0.158521989924433,0.137584129066425
"NL-C10-LabC2_1",0.231574142811751,0.170523705333051,0.148000636975422
"NL-C10-LabC2_2",0.232102984452336,0.170913127204561,0.148338623327073
"NL-C10-LabC2_3",0.225277635437435,0.165887161049271,0.143976495545795
"NL-C10-LabC2_4",0.0568621454435656,0.165990579550563,0.144066254351096
"NL-C10-LabC2_5",0.0264555205622387,0.162272989240817,0.140839689852152
"NL-C10-LabC2_6",0.0124519656995041,0.00589044769730421,0.137194170882037
