"","sample1","sample2","sample3"
"NL-C2-LabC2_0",0,0,0
"NL-C2-LabC2_1",0,0,0
"NL-C2-LabC2_2",0,0,0
"NL-C2-LabC2_3",0,0,0
"NL-C2-LabC2_4",0,0,0
"NL-C2-LabC2_5",0,0,0
"NL-C2-LabC2_6",0,0,0
"NL-C4-LabC2_0",0,0,0
"NL-C4-LabC2_1",0,0,0
"NL-C4-LabC2_2",0,0,0
"NL-C4-LabC2_3",0,0,0
"NL-C4-LabC2_4",0,0,0
"NL-C4-LabC2_5",0,0,0
"NL-C4-LabC2_6",0,0,0
"NL-C6-LabC2_0",0,0,0
"NL-C6-LabC2_1",0,0,0
"NL-C6-LabC2_2",0,0,0
"NL-C6-LabC2_3",0,0,0
"NL-C6-LabC2_4",0,0,0
"NL-C6-LabC2_5",0,0,0
"NL-C6-LabC2_6",0,0,0
"NL-C8-LabC2_0",0,0,0
"NL-C8-LabC2_1",0,0,0
"NL-C8-LabC2_2",0,0,0
"NL-C8-LabC2_3",0,0,0
"NL-C8-LabC2_4",0,0,0
"NL-C8-LabC2_5",0,0,0
"NL-C8-LabC2_6",0,0,0
"NL-C10-LabC2_0",0,0,0
"NL-C10-LabC2_1",0,0,0
"NL-C10-LabC2_2",0,0,0
"NL-C10-LabC2_3",0,0,0
"NL-C10-LabC2_4",0,0,0
"NL-C10-LabC2_5",0,0,0
"NL-C10-LabC2_6",0,0,0
