"","sample1","sample2","sample3"
"NL-C2-LabC2_0",92.74085654,92.74085803,92.74085803
"NL-C2-LabC2_1",99.83427579,99.83397468,99.83397468
"NL-C2-LabC2_2",100.02154649,100.06648559,100.06649988
"NL-C2-LabC2_3",103.03594224,100.07034319,100.06843225
"NL-C2-LabC2_4",28.17516715,100.04150162,100.18489282
"NL-C2-LabC2_5",12.57325663,103.48012088,97.74447154
"NL-C2-LabC2_6",6.34507819,8.31191705,103.90607281
"NL-C4-LabC2_0",92.74085726,92.74085874,92.74085874
"NL-C4-LabC2_1",99.83405998,99.83375884,99.83375884
"NL-C4-LabC2_2",100.04297699,100.08792161,100.08793593
"NL-C4-LabC2_3",102.33663188,99.37049586,99.36858398
"NL-C4-LabC2_4",27.42684721,99.31949944,99.46289072
"NL-C4-LabC2_5",12.3721852,102.78289373,97.04724437
"NL-C4-LabC2_6",6.19869958,7.15893309,102.75308894
"NL-C6-LabC2_0",92.740858,92.74085948,92.74085948
"NL-C6-LabC2_1",99.83383687,99.8335357,99.8335357
"NL-C6-LabC2_2",100.06513677,100.11008689,100.1101012
"NL-C6-LabC2_3",101.61302404,98.64635159,98.6444397
"NL-C6-LabC2_4",26.67803052,98.59700047,98.74039178
"NL-C6-LabC2_5",12.17112592,102.08567874,96.35002936
"NL-C6-LabC2_6",6.05233171,6.0059599,101.60011591
"NL-C8-LabC2_0",92.74085876,92.74086024,92.74086024
"NL-C8-LabC2_1",99.83360618,99.83330497,99.83330497
"NL-C8-LabC2_2",100.08805544,100.13301107,100.13302538
"NL-C8-LabC2_3",100.8641192,97.89691031,97.89499843
"NL-C8-LabC2_4",25.92929695,97.87458463,98.01797597
"NL-C8-LabC2_5",11.97010554,101.38850269,95.65285329
"NL-C8-LabC2_6",5.9059922,4.85301514,100.4471714
"NL-C10-LabC2_0",92.74085955,92.74086103,92.74086104
"NL-C10-LabC2_1",99.83336759,99.83306636,99.83306636
"NL-C10-LabC2_2",100.11176277,100.1567239,100.1567382
"NL-C10-LabC2_3",100.08891298,97.12116766,97.11925578
"NL-C10-LabC2_4",25.18128803,97.15289345,97.29628484
"NL-C10-LabC2_5",11.76914399,100.69138551,94.95573607
"NL-C10-LabC2_6",5.75970237,3.7001202,99.29427682
