"","sample1","sample2","sample3"
"NL-C2-LabC2_0",86.9439079861151,86.9439093829798,86.9439093829798
"NL-C2-LabC2_1",92.718737002683,92.7184573538482,92.7184573538482
"NL-C2-LabC2_2",92.0239927320178,92.0653385775571,92.0653517249529
"NL-C2-LabC2_3",93.9108600247629,91.2079007348347,91.2061590317459
"NL-C2-LabC2_4",25.4397610015244,90.3289012589377,90.4583712222675
"NL-C2-LabC2_5",11.2464032682135,92.5598835613652,87.4295161966531
"NL-C2-LabC2_6",5.62240451596441,7.3652299560144,92.0716743764935
"NL-C4-LabC2_0",85.093263223865,85.0932645818213,85.0932645818213
"NL-C4-LabC2_1",90.7647899855353,90.7645162021305,90.7645162021305
"NL-C4-LabC2_2",90.1238416454868,90.1643300629407,90.1643429631307
"NL-C4-LabC2_3",91.3478726123984,88.7002359809357,88.6985293958402
"NL-C4-LabC2_4",24.2581260623864,87.8447646359508,87.9715894116843
"NL-C4-LabC2_5",10.8428045995954,90.0774450818415,85.0508047384465
"NL-C4-LabC2_6",5.38281531977452,6.21666112589582,89.2285380444887
"NL-C6-LabC2_0",83.2820103831065,83.282011712158,83.282011712158
"NL-C6-LabC2_1",88.8520095547059,88.8517415137234,88.8517415137234
"NL-C6-LabC2_2",88.2635523134107,88.3032010601788,88.3032136824714
"NL-C6-LabC2_3",88.8294183078779,86.2359733185843,86.2343019572783
"NL-C6-LabC2_4",23.1137151064973,85.4239587705053,85.5481922998733
"NL-C6-LabC2_5",10.4509317643333,87.6574993669437,82.7324923718209
"NL-C6-LabC2_6",5.15056605934313,5.11110340558579,86.4622320298062
"NL-C8-LabC2_0",81.5093109862356,81.5093122869976,81.5093122869976
"NL-C8-LabC2_1",86.9795283791011,86.9792659514002,86.9792659514002
"NL-C8-LabC2_2",86.4423009541759,86.4811274463179,86.4811398053284
"NL-C8-LabC2_3",86.3543345919937,83.8139728526191,83.8123360056756
"NL-C8-LabC2_4",22.0060023886007,83.0654354919208,83.1871306607729
"NL-C8-LabC2_5",10.0704984087784,85.2985591142978,80.4731339780704
"NL-C8-LabC2_6",4.92547393368668,4.04731309530967,83.7708394608543
"NL-C10-LabC2_0",79.7743444116916,79.7743456847661,79.774345693368
"NL-C10-LabC2_1",85.1464973725879,85.1462404576904,85.1462404576904
"NL-C10-LabC2_2",84.6592801512165,84.6973014265918,84.6973135193537
"NL-C10-LabC2_3",83.9215101726787,81.4331459608297,81.4315429075834
"NL-C10-LabC2_4",20.9344990343884,80.7681938943718,80.8874025270644
"NL-C10-LabC2_5",9.70121841874453,82.9991649816257,78.2713115338245
"NL-C10-LabC2_6",4.70736293996439,3.0240813819853,81.1524917133927
