"","sample1"
"TracerOnly_0",111357.61201415
"TracerOnly_1",98250.82108008
"TracerOnly_2",98952.03439505
"TracerOnly_3",98929.52544764
"TracerOnly_4",98930.00713912
"TracerOnly_5",98929.99992338
"TracerOnly_6",98930.00003568
"TracerPlus1_0",111588.37429666
"TracerPlus1_1",98225.87999565
"TracerPlus1_2",98953.24751197
"TracerPlus1_3",98929.49061378
"TracerPlus1_4",98930.00906157
"TracerPlus1_5",98930.00142551
"TracerPlus1_6",98930.00106855
"TracerPlus2_0",112679.63463687
"TracerPlus2_1",99016.61083195
"TracerPlus2_2",98863.2651228
"TracerPlus2_3",98929.21310049
"TracerPlus2_4",98930.27374867
"TracerPlus2_5",98930.01048409
"TracerPlus2_6",98930.00408464
"TracerOnlyNoDeriv_0",106667.45800616
"TracerOnlyNoDeriv_1",98678.06540149
"TracerOnlyNoDeriv_2",98934.5249041
"TracerOnlyNoDeriv_3",98929.95137631
"TracerOnlyNoDeriv_4",98930.00031306
"TracerOnlyNoDeriv_5",98930.00008865
"TracerOnlyNoDeriv_6",98930.00001304
