"","sample1"
"TracerOnly_0",0.158115539286364
"TracerOnly_1",0.139505340312352
"TracerOnly_2",0.140500985957458
"TracerOnly_3",0.140469025732251
"TracerOnly_4",0.140469709681078
"TracerOnly_5",0.140469699435522
"TracerOnly_6",0.140469699594976
"TracerPlus1_0",0.158396639919886
"TracerPlus1_1",0.13942894537671
"TracerPlus1_2",0.140461423637086
"TracerPlus1_3",0.140427701371017
"TracerPlus1_4",0.14042843729345
"TracerPlus1_5",0.140428426454272
"TracerPlus1_6",0.140428425947577
"TracerPlus2_0",0.159539831597534
"TracerPlus2_1",0.140194751859081
"TracerPlus2_2",0.139977634110227
"TracerPlus2_3",0.140071007942054
"TracerPlus2_4",0.140072509683097
"TracerPlus2_5",0.140072136934402
"TracerPlus2_6",0.140072127873606
"TracerOnlyNoDeriv_0",0.152382082843562
"TracerOnlyNoDeriv_1",0.140968664838567
"TracerOnlyNoDeriv_2",0.141335035556528
"TracerOnlyNoDeriv_3",0.1413285019454
"TracerOnlyNoDeriv_4",0.141328571855043
"TracerOnlyNoDeriv_5",0.141328571534457
"TracerOnlyNoDeriv_6",0.141328571426443
