"","sample1"
"TracerOnly_0",100000.000000004
"TracerOnly_1",89184.2717072674
"TracerOnly_2",90792.2544397983
"TracerOnly_3",91753.362604462
"TracerOnly_4",92746.1936267487
"TracerOnly_5",93749.3044193295
"TracerOnly_6",94763.2715311317
"TracerPlus1_0",100000.000000001
"TracerPlus1_1",88977.2478995339
"TracerPlus1_2",90605.6088508767
"TracerPlus1_3",91563.586445832
"TracerPlus1_4",92554.3983544131
"TracerPlus1_5",93555.4343580957
"TracerPlus1_6",94567.304175203
"TracerPlus2_0",99999.9999999992
"TracerPlus2_1",88824.8776398012
"TracerPlus2_2",89646.5336423592
"TracerPlus2_3",90676.5728131226
"TracerPlus2_4",91658.2886711848
"TracerPlus2_5",92649.3932661221
"TracerPlus2_6",93651.4578721764
"TracerOnlyNoDeriv_0",100000.000000004
"TracerOnlyNoDeriv_1",93510.5630243563
"TracerOnlyNoDeriv_2",94767.6058213832
"TracerOnlyNoDeriv_3",95788.1582140852
"TracerOnlyNoDeriv_4",96824.2248020963
"TracerOnlyNoDeriv_5",97871.4490877014
"TracerOnlyNoDeriv_6",98930.00001304
