"","sample1"
"TracerOnly_0",0.153142016671383
"TracerOnly_1",0.136578592246189
"TracerOnly_2",0.139041089430514
"TracerOnly_3",0.140512949856274
"TracerOnly_4",0.142033391305943
"TracerOnly_5",0.143569575403149
"TracerOnly_6",0.145122385086548
"TracerPlus1_0",0.153415744774255
"TracerPlus1_1",0.136505107544703
"TracerPlus1_2",0.139003269625819
"TracerPlus1_3",0.14047295808789
"TracerPlus1_4",0.141993019556752
"TracerPlus1_5",0.14352876639726
"TracerPlus1_6",0.145081134013321
"TracerPlus2_0",0.154533919201168
"TracerPlus2_1",0.137264564642428
"TracerPlus2_2",0.138534301865532
"TracerPlus2_3",0.14012606176542
"TracerPlus2_4",0.141643145756303
"TracerPlus2_5",0.143174738530243
"TracerPlus2_6",0.144723268238906
"TracerOnlyNoDeriv_0",0.147559658160275
"TracerOnlyNoDeriv_1",0.137983867142483
"TracerOnlyNoDeriv_2",0.139838755196705
"TracerOnlyNoDeriv_3",0.141344678818722
"TracerOnlyNoDeriv_4",0.142873495134304
"TracerOnlyNoDeriv_5",0.144418775710314
"TracerOnlyNoDeriv_6",0.145980769837196
