"","sample1"
"TracerOnly_0",110364.55069584
"TracerOnly_1",97243.43099215
"TracerOnly_2",97952.50222567
"TracerOnly_3",97929.47437223
"TracerOnly_4",97933.77001263
"TracerOnly_5",97708.14930822
"TracerOnly_6",105148.12598235
"TracerPlus1_0",110595.56778564
"TracerPlus1_1",97218.21037766
"TracerPlus1_2",97953.74218808
"TracerPlus1_3",97929.43868022
"TracerPlus1_4",97933.77279665
"TracerPlus1_5",97708.15205032
"TracerPlus1_6",105148.12837235
"TracerPlus2_0",111678.74429271
"TracerPlus2_1",98018.87213452
"TracerPlus2_2",97861.92390394
"TracerPlus2_3",97929.14207585
"TracerPlus2_4",97934.05153188
"TracerPlus2_5",97708.16729806
"TracerPlus2_6",105148.13665747
"TracerOnlyNoDeriv_0",105670.03210942
"TracerOnlyNoDeriv_1",97675.399452
"TracerOnlyNoDeriv_2",97934.61962439
"TracerOnlyNoDeriv_3",97929.91176062
"TracerOnlyNoDeriv_4",97933.76312688
"TracerOnlyNoDeriv_5",97708.1494611
"TracerOnlyNoDeriv_6",105148.12592062
