"","sample1"
"TracerOnly_0",0.156705500842577
"TracerOnly_1",0.138074956688514
"TracerOnly_2",0.139081759707067
"TracerOnly_3",0.139049062692637
"TracerOnly_4",0.139055162028665
"TracerOnly_5",0.138734805489703
"TracerOnly_6",0.149298752550837
"TracerPlus1_0",0.156987376434768
"TracerPlus1_1",0.137998584341585
"TracerPlus1_2",0.139042651581476
"TracerPlus1_3",0.139008153418363
"TracerPlus1_4",0.139014305577813
"TracerPlus1_5",0.138694043113912
"TracerPlus1_6",0.149254885532083
"TracerPlus2_0",0.158122694148829
"TracerPlus2_1",0.13878207744454
"TracerPlus2_2",0.138559858998063
"TracerPlus2_3",0.138655031257614
"TracerPlus2_4",0.13866198241398
"TracerPlus2_5",0.138342159480407
"TracerPlus2_6",0.148876196256566
"TracerOnlyNoDeriv_0",0.150957188413961
"TracerOnlyNoDeriv_1",0.139536284641386
"TracerOnlyNoDeriv_2",0.139906599172602
"TracerOnlyNoDeriv_3",0.139899873652945
"TracerOnlyNoDeriv_4",0.139905375604734
"TracerOnlyNoDeriv_5",0.139583070368575
"TracerOnlyNoDeriv_6",0.150211608145797
