"","sample1"
"TracerOnly_0",99108.2232275426
"TracerOnly_1",87473.0680090827
"TracerOnly_2",88240.6348248502
"TracerOnly_3",88330.4887574162
"TracerOnly_4",88425.8002742519
"TracerOnly_5",88294.1378448505
"TracerOnly_6",95074.1461170867
"TracerPlus1_0",99110.2957478536
"TracerPlus1_1",87271.3590868008
"TracerPlus1_2",88062.947942342
"TracerPlus1_3",88153.3126030249
"TracerPlus1_4",88250.3092848417
"TracerPlus1_5",88120.7476536934
"TracerPlus1_6",94889.4230633686
"TracerPlus2_0",99111.73802845
"TracerPlus2_1",87139.2897753616
"TracerPlus2_2",87131.0947726114
"TracerPlus2_3",87303.5597398683
"TracerPlus2_4",87401.6963831142
"TracerPlus2_5",87274.7783922722
"TracerPlus2_6",93980.304072269
"TracerOnlyNoDeriv_0",99064.9201589879
"TracerOnlyNoDeriv_1",91684.8553377487
"TracerOnlyNoDeriv_2",92023.3637951122
"TracerOnlyNoDeriv_3",92094.104699624
"TracerOnlyNoDeriv_4",92152.8300568112
"TracerOnlyNoDeriv_5",91975.453579086
"TracerOnlyNoDeriv_6",98994.8733009805
