"","sample1"
"TracerOnly_0",0.156089093136247
"TracerOnly_1",0.137764470139231
"TracerOnly_2",0.138973338629583
"TracerOnly_3",0.139114852808652
"TracerOnly_4",0.139264962332804
"TracerOnly_5",0.139057602453512
"TracerOnly_6",0.149735680499971
"TracerPlus1_0",0.156360310867439
"TracerPlus1_1",0.137682737536696
"TracerPlus1_2",0.138931579330555
"TracerPlus1_3",0.13907414218267
"TracerPlus1_4",0.139227167972852
"TracerPlus1_5",0.139022766434445
"TracerPlus1_6",0.149701295675344
"TracerPlus2_0",0.157484587715798
"TracerPlus2_1",0.138460846284232
"TracerPlus2_2",0.138447824752624
"TracerPlus2_3",0.138721864687794
"TracerPlus2_4",0.1388777998889
"TracerPlus2_5",0.138676132277585
"TracerPlus2_6",0.149330944393067
"TracerOnlyNoDeriv_0",0.150556786268034
"TracerOnlyNoDeriv_1",0.139340718661536
"TracerOnlyNoDeriv_2",0.139855176709687
"TracerOnlyNoDeriv_3",0.1399626872515
"TracerOnlyNoDeriv_4",0.140051936816698
"TracerOnlyNoDeriv_5",0.139782363769014
"TracerOnlyNoDeriv_6",0.15045033052353
