"","sample1"
"TracerOnly_0",104396.98676209
"TracerOnly_1",99880.4689885
"TracerOnly_2",100002.59256117
"TracerOnly_3",99999.95085041
"TracerOnly_4",100000.00085145
"TracerOnly_5",99999.99998618
"TracerOnly_6",100000.00000021
"TracerPlus1_0",104613.32479698
"TracerPlus1_1",99870.87312137
"TracerPlus1_2",100002.85604435
"TracerPlus1_3",99999.9452214
"TracerPlus1_4",100000.00123365
"TracerPlus1_5",100000.00024738
"TracerPlus1_6",100000.00026367
"TracerPlus2_0",105636.37377612
"TracerPlus2_1",100686.58564931
"TracerPlus2_2",99958.98101031
"TracerPlus2_3",99996.8500269
"TracerPlus2_4",100000.20248822
"TracerPlus2_5",100000.01594153
"TracerPlus2_6",100000.00346864
"TracerOnlyNoDeriv_0",1e+05
"TracerOnlyNoDeriv_1",1e+05
"TracerOnlyNoDeriv_2",1e+05
"TracerOnlyNoDeriv_3",1e+05
"TracerOnlyNoDeriv_4",1e+05
"TracerOnlyNoDeriv_5",1e+05
"TracerOnlyNoDeriv_6",1e+05
