"","sample1"
"TracerOnly_0",0.14681404388633
"TracerOnly_1",0.14039758077262
"TracerOnly_2",0.1405728497794
"TracerOnly_3",0.140568968009515
"TracerOnly_4",0.140574319529207
"TracerOnly_5",0.140257606732671
"TracerOnly_6",0.150814631290257
"TracerPlus1_0",0.147078127476903
"TracerPlus1_1",0.140342560201553
"TracerPlus1_2",0.140531928099899
"TracerPlus1_3",0.140527655066836
"TracerPlus1_4",0.140533014120561
"TracerPlus1_5",0.14021639616376
"TracerPlus1_6",0.150770318870489
"TracerPlus2_0",0.148141782635953
"TracerPlus2_1",0.141154348645082
"TracerPlus2_2",0.140112117082133
"TracerPlus2_3",0.140166569878716
"TracerPlus2_4",0.140176742948434
"TracerPlus2_5",0.139860656944196
"TracerPlus2_6",0.150387781865486
"TracerOnlyNoDeriv_0",0.141428571427161
"TracerOnlyNoDeriv_1",0.14142857150379
"TracerOnlyNoDeriv_2",0.14142857173139
"TracerOnlyNoDeriv_3",0.141428518623533
"TracerOnlyNoDeriv_4",0.141433829409961
"TracerOnlyNoDeriv_5",0.14111518222428
"TracerOnlyNoDeriv_6",0.151736755079885
