"","sample1"
"TracerOnly_0",0.151098468266816
"TracerOnly_1",0.14311232077307
"TracerOnly_2",0.141920043936495
"TracerOnly_3",0.140558327252366
"TracerOnly_4",0.139218803749929
"TracerOnly_5",0.13757612231824
"TracerOnly_6",0.146515913703084
"TracerPlus1_0",0.151359546861208
"TracerPlus1_1",0.1430491030016
"TracerPlus1_2",0.141874618277722
"TracerPlus1_3",0.140515880747925
"TracerPlus1_4",0.139179675914501
"TracerPlus1_5",0.137540327511774
"TracerPlus1_6",0.14648084768527
"TracerPlus2_0",0.152436868048581
"TracerPlus2_1",0.143862436512883
"TracerPlus2_2",0.141439215996586
"TracerPlus2_3",0.140145741118005
"TracerPlus2_4",0.138820317882147
"TracerPlus2_5",0.137187501780435
"TracerPlus2_6",0.146107918661364
"TracerOnlyNoDeriv_0",0.145772294281412
"TracerOnlyNoDeriv_1",0.14431457141679
"TracerOnlyNoDeriv_2",0.142871425932544
"TracerOnlyNoDeriv_3",0.141442658560052
"TracerOnlyNoDeriv_4",0.140033490178675
"TracerOnlyNoDeriv_5",0.138320817946029
"TracerOnlyNoDeriv_6",0.147244741684497
