"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",68077183.5621465,68077296.783095,NA,68077296.783095,68077183.5621465,NA,NA
"Glu_1.0",4708158.97788073,NA,7735099.46019683,4705661.79082854,4708158.97788073,7732648.00345553,NA
"Glu_1.1",23195964.1155749,23195550.1410705,NA,23195550.1410705,23195964.1155749,NA,31714947.1976204
"Glu_2.1",15500869.6532266,NA,16532402.8764688,15510000.2230217,15500869.6532266,16541366.2406094,16090028.933494
"Glu_2.2",9370742.54778229,9351837.86906437,NA,NA,9370742.54778228,13043623.0775708,9433219.42066058
"Glu_3.2",60397946.7761459,NA,60821402.18415,NA,60397946.7761459,NA,60401974.3683258
"Glu_3.3",1461192.33290378,1641947.18248479,NA,2612079.92525885,1461192.33290378,1669463.83434441,1420649.17842352
"Glu_4.3",0,NA,0,2322056.99052316,0,NA,0
"Glu_4.4",15007712.0666408,14991139.5380806,NA,15021551.7669285,NA,14972548.4083348,15007234.1329775
"Glu_5.4",128230204.944199,NA,128903464.073934,128793496.970537,NA,129008129.161173,128229914.812033
"Ser_0.0",17576596.9209603,17576596.9209603,NA,17576596.9209603,17576596.9209603,17576596.9209603,NA
"Ser_1.1",206679.97680983,NA,1637870.62166316,NA,206679.97680983,206679.97680983,NA
"Ser_2.2",8184.19894879,22802.02493611,NA,NA,NA,NA,215308.33533794
"Ser_3.3",44.35760953,NA,0,2642.8650113,NA,535.62938207,2227.58555301
