"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",0.208857765879732,0.580578122065758,NA,0.261596602636751,0.372592724969148,NA,NA
"Glu_1.0",0.0144444219645059,NA,0.0361466135965123,0.0180821682970232,0.0257681897423847,0.0422623483616592,NA
"Glu_1.1",0.0711641843729156,0.197816740345791,NA,0.0891321688716236,0.126953657978799,NA,0.12091190577716
"Glu_2.1",0.0475559774298009,NA,0.0772569740922737,0.0595993606820954,0.0848376939421255,0.0904058974527256,0.061342560346573
"Glu_2.2",0.0287490206080178,0.0797545249950801,NA,NA,0.0512869410597052,0.0712891809062216,0.0359637533261215
"Glu_3.2",0.185298209581088,NA,0.284222295325546,NA,0.330563551462472,NA,0.230279993470253
"Glu_3.3",0.00448287297156297,0.0140028857898908,NA,0.0100372850649536,0.00799724084536555,0.00912435974231922,0.00541616539777285
"Glu_4.3",0,NA,0,0.00892283108398362,0,NA,0
"Glu_4.4",0.0460429919275888,0.12784772680348,NA,0.0577224286839834,NA,0.0818316127168958,0.0572144505918808
"Glu_5.4",0.393404555264788,NA,0.602374116985668,0.494907154679586,NA,0.705086600820179,0.488871171090239
"Ser_0.0",0.987920722396436,0.998704386155106,NA,0.999849659880434,0.988377846332936,0.988348077451023,NA
"Ser_1.1",0.0116167784306048,NA,1,NA,0.0116221536670638,0.0116218036202458,NA
"Ser_2.2",0.000460005982619019,0.00129561384489364,NA,NA,NA,NA,0.989759918527999
"Ser_3.3",2.49319033984324e-06,NA,0,0.000150340119565866,NA,3.01189287309571e-05,0.0102400814720006
