"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",0.202268929388696,0.574855548853064,NA,0.253223872139633,0.366827342373,NA,NA
"Glu_1.0",0.0141400421982178,NA,0.0349748413042322,0.0176927379008433,0.0256438500776689,0.0408081939893461,NA
"Glu_1.1",0.0696645786524002,0.197985367315019,NA,0.0872125552906704,0.126341066429864,NA,0.117441433738348
"Glu_2.1",0.0470573689824516,NA,0.0755610216232768,0.0589465142992217,0.0853414790648664,0.088239391021595,0.0602262978781013
"Glu_2.2",0.0284475967849172,0.0806858495597035,NA,NA,0.0515914943389868,0.0695807915947375,0.035309313931409
"Glu_3.2",0.185338542507727,NA,0.280989609189543,NA,0.336123027856369,NA,0.228534866839745
"Glu_3.3",0.00448384873591117,0.0143196228908417,NA,0.0100347088737283,0.00813173985924477,0.00900202326586881,0.0053751201713576
"Glu_4.3",0,NA,0,0.00901702307785289,0,NA,0
"Glu_4.4",0.046551110758518,0.132153611381372,NA,0.0583317633892521,NA,0.0816076425873998,0.0573949897659048
"Glu_5.4",0.402047981991161,NA,0.608474527882948,0.505540825028798,NA,0.710761957541053,0.495717977675134
"Ser_0.0",0.987786650010519,0.998676245879771,NA,0.999844729581863,0.988253620820713,0.98822288329591,NA
"Ser_1.1",0.0117408287658236,NA,1,NA,0.0117463791792869,0.0117460138331716,NA
"Ser_2.2",0.000469946607648561,0.00132375412022902,NA,NA,NA,NA,0.989650310857942
"Ser_3.3",2.57461600933536e-06,NA,0,0.000155270418137368,NA,3.11028709188562e-05,0.0103496891420583
