"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",56700000,56700000,NA,56700000,56700000,NA,NA
"Glu_1.0",6510000,NA,6510000,6510000,6510000,6510000,NA
"Glu_1.1",26700000,26700000,NA,26700000,26700000,NA,26700000
"Glu_2.1",14900000,NA,14900000,14900000,14900000,14900000,14900000
"Glu_2.2",11100000,11100000,NA,NA,11100000,11100000,11100000
"Glu_3.2",54400000,NA,54400000,NA,54400000,NA,54400000
"Glu_3.3",2600000,2600000,NA,2600000,2600000,2600000,2600000
"Glu_4.3",2330000,NA,2330000,2330000,2330000,NA,2330000
"Glu_4.4",13300000,13300000,NA,13300000,NA,13300000,13300000
"Glu_5.4",1.14e+08,NA,1.14e+08,1.14e+08,NA,1.14e+08,1.14e+08
"Ser_0.0",15500000,15500000,NA,15500000,15500000,15500000,NA
"Ser_1.1",1460000,NA,1460000,NA,1460000,1460000,NA
"Ser_2.2",194000,194000,NA,NA,NA,NA,194000
"Ser_3.3",13800,NA,13800,13800,NA,13800,13800
