"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",-94.29909945,0,NA,0,-94.29909943,NA,NA
"Glu_1.0",2098.10594296,NA,2063.84454313,0,2098.10594296,0,NA
"Glu_1.1",336.59095924,1e-08,NA,1e-08,336.59095926,NA,336.82695044
"Glu_2.1",-7488.9738727,NA,-7366.68132159,0,-7488.97387269,0,-7494.22455389
"Glu_2.2",16126.54967453,0,NA,NA,16126.54967453,0,16137.85634654
"Glu_3.2",-358807.34716626,NA,-352948.13780279,NA,-358807.34716626,NA,-359058.91474077
"Glu_3.3",-153792.54154743,0,NA,0,-153792.54154743,0,-153900.36881729
"Glu_4.3",3421804.10318958,NA,3365927.13522976,-1e-08,3421804.10318958,NA,3424203.20389212
"Glu_4.4",0,0,NA,0,NA,0,0
"Glu_5.4",1e-08,NA,-3e-08,1e-08,NA,-1e-08,-1e-08
"Ser_0.0",0,0,NA,0,0,0,NA
"Ser_1.1",0,NA,-14.68046828,NA,0,0,NA
"Ser_2.2",0,0,NA,NA,NA,NA,0
"Ser_3.3",0,NA,1409.22789231,0,NA,0,0
