"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",-1.39e-06,0,NA,0,-1.39e-06,NA,NA
"Glu_1.0",0.00044563,NA,0.00026682,0,0.00044563,0,NA
"Glu_1.1",1.451e-05,0,NA,0,1.451e-05,NA,1.062e-05
"Glu_2.1",-0.00048313,NA,-0.00044559,0,-0.00048313,0,-0.00046577
"Glu_2.2",0.00172095,0,NA,NA,0.00172095,0,0.00171075
"Glu_3.2",-0.00594072,NA,-0.00580303,NA,-0.00594072,NA,-0.00594449
"Glu_3.3",-0.1052514,0,NA,0,-0.1052514,0,-0.10833102
"Glu_4.3",-Inf,NA,Inf,0,Inf,NA,Inf
"Glu_4.4",0,0,NA,0,NA,0,0
"Glu_5.4",0,NA,0,0,NA,0,0
"Ser_0.0",0,0,NA,0,0,0,NA
"Ser_1.1",0,NA,-8.96e-06,NA,0,0,NA
"Ser_2.2",0,0,NA,NA,NA,NA,0
"Ser_3.3",0,NA,-Inf,0,NA,0,0
