"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",67794588.824403,67841412.0256654,NA,67793898.296184,67794771.6368169,NA,NA
"Glu_1.0",4606029.11854604,NA,7649827.0112342,4595733.4274887,4602696.36940371,7637572.75606214,NA
"Glu_1.1",23092688.8134095,23239922.4487832,NA,23274175.6576551,23092780.7743092,NA,31650703.8222901
"Glu_2.1",14560287.0623342,NA,15597090.0076189,15784008.4007121,14560244.2919949,16860677.3591355,15141786.1269257
"Glu_2.2",8936398.64314011,9502043.07555564,NA,NA,8888008.93738933,13216879.1499861,9001076.21544449
"Glu_3.2",61628922.2799627,NA,62033896.6150799,NA,62267143.3951014,NA,61632934.3080969
"Glu_3.3",629625.61848711,1061492.29419765,NA,1915537.78971825,1506414.10929789,1089701.72094347,588050.24005095
"Glu_4.3",0,NA,0,0,0,NA,0
"Glu_4.4",14314998.5171878,15612904.1753715,NA,14297186.2764508,NA,14227022.5603837,14314511.9958755
"Glu_5.4",134029433.805415,NA,134675866.58702,135094863.99596,NA,135215875.062045,134029028.716163
"Ser_0.0",17574487.287452,17576594.5467726,NA,17576596.9181515,17574486.4341145,17574486.435253,NA
"Ser_1.1",208621.62697128,NA,1653220.9364401,NA,208790.46365563,208790.29470476,NA
"Ser_2.2",8350.81320412,23236.51934656,NA,NA,NA,NA,219342.02813958
"Ser_3.3",45.73220995,NA,0,2719.64667959,NA,551.194464,2269.59460458
