"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",0.205691851596699,0.578566432741089,NA,0.258011433083181,0.37104705522465,NA,NA
"Glu_1.0",0.0139749008634892,NA,0.0347787891849873,0.0174905381973201,0.025190982913983,0.0405719251568967,NA
"Glu_1.1",0.0700642632803579,0.198195152885163,NA,0.088577343480472,0.126388924933005,NA,0.118827641589482
"Glu_2.1",0.0441765701004286,NA,0.0709098263892288,0.060071108604385,0.0796895636265012,0.089566431870186,0.0568474794436572
"Glu_2.2",0.0271134380396459,0.0810355062170078,NA,NA,0.0486448949292975,0.0702100325336164,0.0337931397814666
"Glu_3.2",0.186984940177284,NA,0.282027790893939,NA,0.340793834630404,NA,0.231391259707561
"Glu_3.3",0.00191031263003565,0.00905263896635509,NA,0.00729019369989547,0.00824474374216049,0.00578865800399326,0.00220774310592652
"Glu_4.3",0,NA,0,0,0,NA,0
"Glu_4.4",0.0434323535500888,0.133150269190385,NA,0.0544125299319436,NA,0.0755760649307355,0.0537416074702366
"Glu_5.4",0.40665136976197,NA,0.612283593531845,0.514146853002803,NA,0.718286887504572,0.503191128901671
"Ser_0.0",0.987802146767442,0.998679730546318,NA,0.999845292809333,0.988259168158046,0.988228547303852,NA
"Ser_1.1",0.0117259119776133,NA,1,NA,0.0117408318419543,0.0117404585554968,NA
"Ser_2.2",0.000469370802991977,0.00132026945368197,NA,NA,NA,NA,0.989758684240131
"Ser_3.3",2.57045195266e-06,NA,0,0.000154707190666951,NA,3.09941406508476e-05,0.0102413157598694
