"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",-216.45678185,-1e-08,NA,-58.59742977,-94.2986299,NA,NA
"Glu_1.0",4816.05087509,NA,4801.86735509,1303.76235182,2098.09549632,0,NA
"Glu_1.1",781.41257963,0,NA,1631.12141513,336.58777214,NA,779.4540427
"Glu_2.1",-17386.02369346,NA,-17334.82095055,-36291.60357791,-7488.90296115,-1e-08,-17342.44726519
"Glu_2.2",36988.3899116,0,NA,NA,16126.54059563,0,36999.22975794
"Glu_3.2",-822972.44779499,NA,-820548.75118635,NA,-358807.14516556,NA,-823213.62874124
"Glu_3.3",-354538.18790589,0,NA,-114287.22959124,-153792.48371342,0,-354641.87761572
"Glu_4.3",7888290.38071166,NA,7865058.95577772,2542831.44827851,3421802.81641309,NA,7890597.42285436
"Glu_4.4",14272.10068458,0,NA,4607.95892162,NA,0,14276.2747579
"Glu_5.4",-317546.82114139,NA,-316611.62925795,-102524.6906428,NA,0,-317639.69210273
"Ser_0.0",0,0,NA,0,0,0,NA
"Ser_1.1",0,NA,-14.65978231,NA,0,0,NA
"Ser_2.2",0,0,NA,NA,NA,NA,0
"Ser_3.3",0,NA,1407.41038204,0,NA,0,0
