"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",0.198492287170212,0.556125360125793,NA,0.249001834482384,0.355144619944539,NA,NA
"Glu_1.0",0.0160199472160231,NA,0.0347826797488984,0.0200908805500681,0.0286630687100063,0.0406329388268842,NA
"Glu_1.1",0.0769511260052381,0.215594126783476,NA,0.0965309926894363,0.137681815193149,NA,0.116234915447876
"Glu_2.1",0.0476029012053836,NA,0.0766480633647978,0.0597604207699944,0.08517164318,0.0896183368046699,0.0608539590209254
"Glu_2.2",0.0302403032460181,0.0846619980829672,NA,NA,0.0541062887451398,0.0692819694283279,0.0386762069531142
"Glu_3.2",0.184302890801613,NA,0.282833296314265,NA,0.329756793281797,NA,0.229273112247137
"Glu_3.3",0.0052960606525337,0.0156115710679149,NA,0.0101448915890941,0.00947577094536887,0.0104620330260598,0.00644884043647143
"Glu_4.3",0,NA,0,0.00915438261705723,0,NA,0
"Glu_4.4",0.045710994987973,0.128006943939848,NA,0.057478862005251,NA,0.0813622197238014,0.0568399396991652
"Glu_5.4",0.395383488715006,NA,0.605735960572039,0.497837735296715,NA,0.708642502190257,0.491673026195312
"Ser_0.0",0.956546578092667,0.996716539383059,NA,0.999526943010623,0.957548814624803,0.957489726972191,NA
"Ser_1.1",0.0424067530411314,NA,0.999769849972428,NA,0.042451185375197,0.0424485658315705,NA
"Ser_2.2",0.00103671336151954,0.00328346061694123,NA,NA,NA,NA,0.979169487399731
"Ser_3.3",9.95550468197777e-06,NA,0.000230150027572538,0.000473056989377006,NA,6.17071962380135e-05,0.0208305126002688
