"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",56699956.6549914,56700000,NA,56700000,56699956.6549914,NA,NA
"Glu_1.0",4576149.15779999,NA,6511241.64567541,4574877.64922251,4576149.15779999,6510000,NA
"Glu_1.1",21981335.2511188,21980991.8142521,NA,21980991.8142521,21981335.2511188,NA,26700340.2015384
"Glu_2.1",13597920.9745443,NA,14348349.9789014,13607995.5583557,13597920.9745443,14358187.9490438,13978772.232151
"Glu_2.2",8638239.33779698,8631750.38487441,NA,NA,8638239.33779698,11100000,8884317.41335367
"Glu_3.2",52646710.2012884,NA,52945775.0535572,NA,52646710.2012884,NA,52666361.6734787
"Glu_3.3",1512836.66343853,1591684.43487374,NA,2310084.80036853,1512836.66343853,1676173.0006737,1481364.12278322
"Glu_4.3",0,NA,0,2084536.82867894,0,NA,0
"Glu_4.4",13057491.9127818,13051002.9604614,NA,13088463.7154282,NA,13035435.4298267,13056711.2399476
"Glu_5.4",112942558.080435,NA,113392448.230927,113362215.382878,NA,113535048.717822,112942286.031272
"Ser_0.0",15500000,15500000,NA,15500000,15500000,15500000,NA
"Ser_1.1",687164.312947717,NA,1460000,NA,687164.312947717,687164.312947717,NA
"Ser_2.2",16799.0325527003,51061.2973213938,NA,NA,NA,NA,193999.999999998
"Ser_3.3",161.32023897712,NA,336.096392849987,7335.85361216788,NA,998.926165728969,4127.08882012207
