"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",-43.34500858,0,NA,0,-43.34500858,NA,NA
"Glu_1.0",1270.02924952,NA,1241.64567541,0,1270.02924952,0,NA
"Glu_1.1",339.82936316,0,NA,0,339.82936314,NA,340.20153835
"Glu_2.1",-9957.16104628,NA,-9734.63088127,0,-9957.16104628,0,-9968.06595554
"Glu_2.2",6517.04801235,0,NA,NA,6517.04801235,0,6524.18536976
"Glu_3.2",-190952.58868343,NA,-186685.03582636,NA,-190952.58868341,NA,-191161.71663087
"Glu_3.3",-78303.87398269,0,NA,0,-78303.87398269,0,-78389.6310209
"Glu_4.3",2294340.53771058,NA,2243064.88031161,0,2294340.53771058,NA,2296853.25948473
"Glu_4.4",0,0,NA,0,NA,0,0
"Glu_5.4",3e-08,NA,-1e-08,-1e-08,NA,-3e-08,-1e-08
"Ser_0.0",0,0,NA,1e-08,0,0,NA
"Ser_1.1",0,NA,0,NA,0,0,NA
"Ser_2.2",0,0,NA,NA,NA,NA,0
"Ser_3.3",0,NA,0,0,NA,0,0
