"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",-6.7e-07,0,NA,0,-6.7e-07,NA,NA
"Glu_1.0",0.00024392,NA,0.0001676,0,0.00024392,0,NA
"Glu_1.1",1.359e-05,0,NA,0,1.359e-05,NA,1.12e-05
"Glu_2.1",-0.00064358,NA,-0.00059629,0,-0.00064358,0,-0.00062673
"Glu_2.2",0.00066308,0,NA,NA,0.00066308,0,0.00064542
"Glu_3.2",-0.00318783,NA,-0.00309898,NA,-0.00318783,NA,-0.00319013
"Glu_3.3",-0.04549167,0,NA,0,-0.04549167,0,-0.04650905
"Glu_4.3",Inf,NA,Inf,0,Inf,NA,Inf
"Glu_4.4",0,0,NA,0,NA,0,0
"Glu_5.4",0,NA,0,0,NA,0,0
"Ser_0.0",0,0,NA,0,0,0,NA
"Ser_1.1",0,NA,0,NA,0,0,NA
"Ser_2.2",0,0,NA,NA,NA,NA,0
"Ser_3.3",0,NA,0,0,NA,0,0
