"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",64209391.2566203,64260651.9453056,NA,64208619.5415617,64209523.4903337,NA,NA
"Glu_1.0",5110604.48418098,NA,7323369.70955554,5100700.48333509,5107572.7411823,7312629.34261012,NA
"Glu_1.1",24917569.1376499,25062301.0420049,NA,25105009.9049724,24917069.888984,NA,30305320.132512
"Glu_2.1",14537687.0366895,NA,15396474.8992474,15764255.2785772,14550930.1310196,16653069.8495324,14966550.6349215
"Glu_2.2",9391976.41638047,9973745.32906229,NA,NA,9357436.00478002,12799735.1147061,9677168.4307535
"Glu_3.2",61219216.4194273,NA,61546589.5829984,NA,61734075.0865989,NA,61241588.6168045
"Glu_3.3",972915.15627162,1248093.27854066,NA,1982956.48162222,1773968.42081898,1346034.8945128,936224.7927592
"Glu_4.3",0,NA,0,0,0,NA,0
"Glu_4.4",14148629.3710816,15458324.6592989,NA,14162201.0204426,NA,14086338.0536484,14147717.1851344
"Glu_5.4",134352087.030097,NA,134843798.520819,135260476.183625,NA,135379329.440123,134351655.465194
"Ser_0.0",17010784.5333139,17018397.9470455,NA,17018403.6531664,17010782.6515758,17010782.6538331,NA
"Ser_1.1",761724.65853519,NA,1618400.78299842,NA,762100.98791076,762100.64931955,NA
"Ser_2.2",18813.73048163,57144.09355294,NA,NA,NA,NA,216971.36110802
"Ser_3.3",182.55716833,NA,380.48175662,8288.48744383,NA,1128.66242368,4640.26077243
