"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",0.195248362091864,0.553956255834395,NA,0.245460600845906,0.353478227197333,NA,NA
"Glu_1.0",0.0155403615469223,NA,0.0334232209006901,0.0194992668322983,0.0281175697886363,0.0389846517088874,NA
"Glu_1.1",0.0757695169853414,0.216048515344042,NA,0.0959729528451887,0.137170332569685,NA,0.114090090701954
"Glu_2.1",0.0442062995298231,NA,0.0702681691705425,0.0602645501522287,0.0801039582167182,0.0887798488821082,0.0563444013119568
"Glu_2.2",0.0285591870007743,0.0859782534393779,NA,NA,0.0515133847797528,0.0682371814615624,0.0364315248667607
"Glu_3.2",0.186155817716277,NA,0.280893269205374,NA,0.339850698667202,NA,0.230555505418574
"Glu_3.3",0.00295844715233612,0.0107591357787799,NA,0.00758056617484531,0.00976582878067215,0.00717590063601673,0.00352459472647919
"Glu_4.3",0,NA,0,0,0,NA,0
"Glu_4.4",0.0430232502829357,0.133257839603404,NA,0.0541401200741933,NA,0.0750962420145201,0.053261748426341
"Glu_5.4",0.408538757693725,NA,0.615415340723393,0.51708194307534,NA,0.721726175296905,0.505792134547934
"Ser_0.0",0.956118331465273,0.99665345361119,NA,0.999513206242564,0.957120014772528,0.95705925520803,NA
"Ser_1.1",0.0428139518273434,NA,0.999764957894619,NA,0.0428799852274719,0.0428772440794765,NA
"Ser_2.2",0.00105745578997285,0.0033465463888101,NA,NA,NA,NA,0.979061293207207
"Ser_3.3",1.02609174102977e-05,NA,0.000235042105381406,0.000486793757435784,NA,6.35007124933825e-05,0.0209387067927928
