"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",56433795.9633167,56478849.111923,NA,56433117.7010047,56433912.183861,NA,NA
"Glu_1.0",4448338.9290509,NA,6374359.56386064,4439718.35341205,4445700.0591392,6365011.00391171,NA
"Glu_1.1",21699340.1857216,21825379.2391693,NA,21862572.038409,21698905.4175234,NA,26391236.1338229
"Glu_2.1",12537791.9416723,NA,13278439.5780954,13595625.7896729,12549213.2331717,14362169.4728076,12907658.3827656
"Glu_2.2",8103976.74785383,8605962.86153006,NA,NA,8074173.14954164,11044401.2154198,8350058.01453181
"Glu_3.2",52313508.3323202,NA,52593257.726741,NA,52753469.2588128,NA,52332625.9918126
"Glu_3.3",831795.733860449,1067059.81282934,NA,1695332.55928002,1516657.80405258,1150795.19078894,800427.235130947
"Glu_4.3",0,NA,0,0,0,NA,0
"Glu_4.4",11985517.9367911,13094980.6244451,NA,11997014.6862347,NA,11932750.0196438,11984745.2102786
"Glu_5.4",112712411.086263,NA,113124924.124976,113474488.802822,NA,113574198.732168,112712049.032188
"Ser_0.0",15493060.6601809,15499994.7954375,NA,15499999.992451,15493058.9463339,15493058.9483897,NA
"Ser_1.1",687170.900271204,NA,1459999.89706421,NA,687510.396430231,687510.090978617,NA
"Ser_2.2",16811.0880599654,51061.3453171008,NA,NA,NA,NA,193875.672963369
"Ser_3.3",161.575036744673,NA,336.751245480684,7335.85361531115,NA,998.940081327171,4106.93434647801
