"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",0.200784514021069,0.558796893963513,NA,0.252499577371672,0.358374193737532,NA,NA
"Glu_1.0",0.01582664350013,NA,0.0343870412169756,0.0198647009691233,0.0282316804318333,0.0401757122831305,NA
"Glu_1.1",0.0772035869534639,0.215938432177594,NA,0.0978200465408226,0.137795297775152,NA,0.117045310396192
"Glu_2.1",0.0446079236552207,NA,0.0716317058199558,0.0608311201976121,0.0796916960111873,0.0906534785480287,0.0572455520551609
"Glu_2.2",0.0288329538210324,0.0851466591866714,NA,NA,0.0512736966229983,0.0697118489343487,0.0370325636579234
"Glu_3.2",0.186125036743403,NA,0.283718937262009,NA,0.335002151736192,NA,0.23209554952257
"Glu_3.3",0.0029594270478727,0.0105573983616541,NA,0.00758545287167466,0.00963128368510517,0.00726377636323531,0.00354990019074549
"Glu_4.3",0,NA,0,0,0,NA,0
"Glu_4.4",0.0426430005841481,0.129560616310568,NA,0.0536784296420691,NA,0.0753190734848852,0.0531524259054528
"Glu_5.4",0.40101691367366,NA,0.610262315701059,0.507720672407027,NA,0.716876110386372,0.499878698271956
"Ser_0.0",0.95652684539569,0.996716535207967,NA,0.99952694301019,0.95751012329256,0.957451031202023,NA
"Ser_1.1",0.0424252785102344,NA,0.999769401633609,NA,0.0424898767074401,0.0424872355912446,NA
"Ser_2.2",0.00103790060481697,0.00328346479203328,NA,NA,NA,NA,0.979256085156761
"Ser_3.3",9.97548925818705e-06,NA,0.0002305983663907,0.00047305698980989,NA,6.17332067322406e-05,0.0207439148432395
