"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",-127.8161891,0,NA,-16.28116187,-43.34488786,NA,NA
"Glu_1.0",3745.07478536,NA,3729.65166311,477.045742,1270.02571288,0,NA
"Glu_1.1",1008.27811301,0,NA,953.32346052,339.82810668,NA,1007.34646194
"Glu_2.1",-29543.02552726,NA,-29421.36021467,-27932.82822101,-9957.12423083,0,-29515.72771011
"Glu_2.2",19196.55651593,0,NA,NA,6517.04469317,0,19203.42134392
"Glu_3.2",-562468.18399686,NA,-560151.80420144,NA,-190952.49143,NA,-562669.3267033
"Glu_3.3",-231915.43041124,0,NA,-84840.50392564,-78303.84544905,0,-231998.20757749
"Glu_4.3",6795231.78419902,NA,6767247.37893325,2485866.88622084,2294339.70166156,NA,6797657.19431583
"Glu_4.4",9338.91368162,0,NA,3420.69432694,NA,-1e-08,9342.24700098
"Glu_5.4",-273634.58725759,NA,-272507.69395541,-100227.96143085,NA,0,-273732.25509143
"Ser_0.0",0,0,NA,1e-08,0,0,NA
"Ser_1.1",0,NA,0,NA,0,0,NA
"Ser_2.2",0,0,NA,NA,NA,NA,0
"Ser_3.3",0,NA,0,0,NA,0,0
