"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",-1.99e-06,0,NA,-2.5e-07,-6.8e-07,NA,NA
"Glu_1.0",0.0007328,NA,0.00050928,9.353e-05,0.00024866,0,NA
"Glu_1.1",4.046e-05,0,NA,3.797e-05,1.364e-05,NA,3.324e-05
"Glu_2.1",-0.00203217,NA,-0.00191092,-0.00177191,-0.00068429,0,-0.00197211
"Glu_2.2",0.00204393,0,NA,NA,0.00069646,0,0.0019844
"Glu_3.2",-0.00918777,NA,-0.00910126,NA,-0.00309315,NA,-0.0091877
"Glu_3.3",-0.23837169,0,NA,-0.04278485,-0.0441405,0,-0.24780182
"Glu_4.3",-Inf,NA,Inf,Inf,Inf,NA,Inf
"Glu_4.4",0.00066006,0,NA,0.00024154,NA,0,0.00066034
"Glu_5.4",-0.0020367,NA,-0.00202091,-0.000741,NA,0,-0.00203743
"Ser_0.0",0,0,NA,0,0,0,NA
"Ser_1.1",0,NA,0,NA,0,0,NA
"Ser_2.2",0,0,NA,NA,NA,NA,0
"Ser_3.3",0,NA,0,0,NA,0,0
